Metadata_Plate	Metadata_Well	Metadata_Site	cell_count	Metadata_plate_map_name	Metadata_clone_number	Metadata_plate_ID	Metadata_plate_filename	Metadata_treatment
217762	B10	8	1111	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	9	1014	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	10	972	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	11	1063	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	12	1194	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	13	874	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	14	622	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	15	928	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	16	541	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	17	661	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	1	1593	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	2	807	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	3	923	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	4	698	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	5	688	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	6	933	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	7	673	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	8	706	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	9	859	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	10	858	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	11	919	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	12	965	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	13	988	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	14	1005	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	15	835	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	16	1134	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B11	17	1133	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C02	1	1593	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	2	1305	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	3	777	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	4	1085	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	5	1082	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	6	1190	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	7	887	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	8	887	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	9	1065	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	10	953	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	11	954	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	12	766	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	13	955	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	14	1020	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	15	1116	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	16	771	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C02	17	729	217762	BZ017	217762	20191120-20191115-LoDensity	DMSO
217762	C03	1	892	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	2	761	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	3	1209	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	4	524	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	5	788	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	6	738	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	7	455	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	8	628	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	9	726	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	10	659	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	11	757	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	12	569	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	13	703	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	14	758	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	15	735	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	16	518	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C03	17	535	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	C04	1	854	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	2	798	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	3	905	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	4	566	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
