features	non_status_significant_exclude	cell_count_exclude	non_specific_exclude	final_signature	dataset
Cells_Granularity_14_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Granularity_16_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Granularity_2_AGP	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Granularity_2_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Granularity_2_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Granularity_2_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Intensity_IntegratedIntensityEdge_AGP	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Intensity_IntegratedIntensityEdge_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Intensity_IntegratedIntensityEdge_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Intensity_IntegratedIntensity_AGP	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_Intensity_IntegratedIntensity_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Intensity_IntegratedIntensity_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Intensity_IntegratedIntensity_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Intensity_LowerQuartileIntensity_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Intensity_MeanIntensityEdge_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Intensity_MedianIntensity_DNA	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_Intensity_MinIntensity_AGP	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_Neighbors_NumberOfNeighbors_10	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_Neighbors_NumberOfNeighbors_Adjacent	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_Neighbors_PercentTouching_Adjacent	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_RadialDistribution_RadialCV_DNA_1of4	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_RadialDistribution_RadialCV_DNA_2of4	TRUE	TRUE	TRUE	FALSE	bortezomib
Cells_RadialDistribution_RadialCV_ER_1of4	FALSE	FALSE	TRUE	FALSE	bortezomib
Cells_RadialDistribution_RadialCV_Mito_1of4	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_RadialDistribution_RadialCV_RNA_1of4	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Texture_Correlation_DNA_10_03	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Texture_Correlation_ER_10_00	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_Texture_Correlation_ER_10_01	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_Texture_Correlation_ER_10_03	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Texture_Correlation_ER_20_02	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Texture_Correlation_Mito_10_01	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_Texture_Correlation_Mito_20_00	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Texture_Correlation_Mito_20_02	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Texture_Correlation_RNA_5_02	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Texture_InfoMeas1_DNA_10_00	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_AreaShape_FormFactor	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_AreaShape_MedianRadius	FALSE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_AreaShape_Orientation	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_1_1	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_2_2	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_3_3	FALSE	FALSE	FALSE	TRUE	bortezomib
Cytoplasm_AreaShape_Zernike_4_0	FALSE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_4_4	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_5_5	FALSE	FALSE	FALSE	TRUE	bortezomib
Cytoplasm_AreaShape_Zernike_6_2	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_6_4	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_6_6	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_7_3	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_7_5	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_8_0	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_8_2	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_8_4	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_8_6	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_8_8	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_9_1	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_9_3	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_9_5	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_9_7	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_AreaShape_Zernike_9_9	FALSE	FALSE	FALSE	TRUE	bortezomib
Cytoplasm_Correlation_Costes_AGP_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_Costes_AGP_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_Costes_AGP_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_Costes_AGP_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_Costes_ER_AGP	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_Costes_ER_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_Costes_Mito_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_Costes_RNA_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_K_DNA_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_K_ER_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_K_ER_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_K_ER_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_K_RNA_ER	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Correlation_Overlap_DNA_AGP	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Correlation_Overlap_DNA_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_Overlap_DNA_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_Overlap_ER_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_RWC_AGP_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_RWC_Mito_DNA	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Correlation_RWC_Mito_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Correlation_RWC_RNA_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Granularity_16_AGP	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Granularity_2_AGP	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Granularity_2_ER	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Granularity_2_Mito	FALSE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Granularity_2_RNA	FALSE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Granularity_3_ER	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Granularity_3_Mito	FALSE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Granularity_3_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Granularity_4_ER	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Granularity_4_Mito	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Intensity_IntegratedIntensityEdge_DNA	FALSE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Intensity_IntegratedIntensityEdge_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Intensity_IntegratedIntensityEdge_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Intensity_IntegratedIntensityEdge_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Intensity_IntegratedIntensity_AGP	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Intensity_IntegratedIntensity_ER	FALSE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Intensity_IntegratedIntensity_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Intensity_LowerQuartileIntensity_AGP	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Intensity_LowerQuartileIntensity_DNA	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Intensity_LowerQuartileIntensity_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Intensity_LowerQuartileIntensity_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Intensity_MeanIntensity_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Intensity_MedianIntensity_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Intensity_MedianIntensity_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Intensity_MinIntensity_Mito	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Location_MaxIntensity_X_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_RadialDistribution_FracAtD_DNA_1of4	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_RadialDistribution_FracAtD_DNA_4of4	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_DNA_1of4	FALSE	FALSE	FALSE	TRUE	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_DNA_4of4	FALSE	TRUE	TRUE	FALSE	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_Mito_1of4	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_Mito_4of4	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_RadialDistribution_RadialCV_ER_1of4	TRUE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Texture_AngularSecondMoment_ER_5_00	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Texture_Correlation_ER_10_01	FALSE	FALSE	TRUE	FALSE	bortezomib
Cytoplasm_Texture_Correlation_ER_20_02	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Texture_Correlation_ER_5_02	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Texture_Correlation_Mito_10_00	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Texture_Correlation_Mito_10_02	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Texture_Correlation_Mito_10_03	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Texture_Correlation_Mito_20_02	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Texture_Correlation_Mito_5_00	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Texture_InfoMeas1_Mito_5_00	TRUE	FALSE	FALSE	FALSE	bortezomib
Cytoplasm_Texture_InfoMeas1_RNA_10_00	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_AreaShape_Eccentricity	FALSE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_MaximumRadius	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_AreaShape_MedianRadius	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_AreaShape_Orientation	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_AreaShape_Solidity	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_1_1	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_2_2	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_3_1	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_3_3	FALSE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_4_2	FALSE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_5_3	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_5_5	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_6_0	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_6_2	FALSE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_7_1	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_8_0	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_8_2	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_8_4	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_8_6	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_9_1	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_9_3	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_9_5	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_9_7	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_AreaShape_Zernike_9_9	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_Correlation_Correlation_DNA_RNA	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_Correlation_Correlation_Mito_AGP	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Correlation_Correlation_Mito_ER	FALSE	FALSE	FALSE	TRUE	bortezomib
Nuclei_Correlation_Costes_AGP_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Correlation_Costes_AGP_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Correlation_Costes_ER_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Correlation_Costes_RNA_AGP	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_Correlation_Costes_RNA_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Correlation_K_AGP_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Correlation_K_AGP_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Correlation_K_Mito_AGP	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Correlation_K_Mito_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Correlation_K_RNA_AGP	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Correlation_Overlap_ER_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Granularity_10_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Granularity_11_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Granularity_11_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Granularity_12_AGP	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Granularity_12_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Granularity_13_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Granularity_13_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Granularity_13_Mito	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_Granularity_13_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Granularity_2_DNA	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_Granularity_2_Mito	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_Granularity_5_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Granularity_6_DNA	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_Granularity_7_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Granularity_8_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Granularity_9_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Intensity_IntegratedIntensityEdge_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Intensity_LowerQuartileIntensity_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Intensity_MinIntensityEdge_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Intensity_MinIntensityEdge_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Intensity_MinIntensity_DNA	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_Location_MaxIntensity_Y_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Neighbors_FirstClosestDistance_2	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_RadialDistribution_FracAtD_DNA_1of4	TRUE	TRUE	TRUE	FALSE	bortezomib
Nuclei_RadialDistribution_FracAtD_ER_4of4	FALSE	FALSE	FALSE	TRUE	bortezomib
Nuclei_RadialDistribution_FracAtD_Mito_2of4	FALSE	FALSE	TRUE	FALSE	bortezomib
Nuclei_RadialDistribution_FracAtD_Mito_4of4	FALSE	FALSE	TRUE	FALSE	bortezomib
Nuclei_RadialDistribution_FracAtD_RNA_4of4	FALSE	FALSE	TRUE	FALSE	bortezomib
Nuclei_RadialDistribution_MeanFrac_AGP_1of4	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_RadialDistribution_MeanFrac_AGP_2of4	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_RadialDistribution_MeanFrac_AGP_4of4	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_RadialDistribution_MeanFrac_ER_1of4	FALSE	FALSE	TRUE	FALSE	bortezomib
Nuclei_RadialDistribution_MeanFrac_ER_4of4	FALSE	FALSE	TRUE	FALSE	bortezomib
Nuclei_RadialDistribution_MeanFrac_Mito_1of4	FALSE	FALSE	TRUE	FALSE	bortezomib
Nuclei_RadialDistribution_MeanFrac_Mito_4of4	FALSE	FALSE	TRUE	FALSE	bortezomib
Nuclei_RadialDistribution_MeanFrac_RNA_1of4	FALSE	FALSE	TRUE	FALSE	bortezomib
Nuclei_RadialDistribution_MeanFrac_RNA_4of4	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_RadialDistribution_RadialCV_DNA_1of4	TRUE	FALSE	TRUE	FALSE	bortezomib
Nuclei_Texture_Correlation_DNA_10_03	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Texture_Correlation_ER_10_00	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Texture_Correlation_ER_10_01	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Texture_Correlation_ER_10_03	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Texture_Correlation_Mito_10_02	TRUE	FALSE	FALSE	FALSE	bortezomib
Nuclei_Texture_DifferenceEntropy_DNA_10_03	TRUE	FALSE	FALSE	FALSE	bortezomib
