Metadata_dataset	metric	metric_value	dataset	shuffle	permutation
cb5083	accuracy	0.4666666666666667	otherclones	True	55
ixazomib	accuracy	0.48333333333333334	otherclones	True	55
cb5083	avg_precision	0.48432835820895526	otherclones	True	55
ixazomib	avg_precision	0.49196078431372553	otherclones	True	55
cb5083	accuracy	0.5333333333333333	otherclones	True	56
ixazomib	accuracy	0.5166666666666667	otherclones	True	56
cb5083	avg_precision	0.5177777777777778	otherclones	True	56
ixazomib	avg_precision	0.5085858585858586	otherclones	True	56
cb5083	accuracy	0.4875	otherclones	True	57
ixazomib	accuracy	0.5333333333333333	otherclones	True	57
cb5083	avg_precision	0.4938976377952756	otherclones	True	57
ixazomib	avg_precision	0.5177536231884058	otherclones	True	57
cb5083	accuracy	0.525	otherclones	True	58
ixazomib	accuracy	0.5055555555555555	otherclones	True	58
cb5083	avg_precision	0.5130769230769231	otherclones	True	58
ixazomib	avg_precision	0.502808988764045	otherclones	True	58
cb5083	accuracy	0.5291666666666667	otherclones	True	59
ixazomib	accuracy	0.5	otherclones	True	59
cb5083	avg_precision	0.5154132791327913	otherclones	True	59
ixazomib	avg_precision	0.5	otherclones	True	59
cb5083	accuracy	0.5416666666666666	otherclones	True	60
ixazomib	accuracy	0.42777777777777776	otherclones	True	60
cb5083	avg_precision	0.5224867724867724	otherclones	True	60
ixazomib	avg_precision	0.46893667861409793	otherclones	True	60
cb5083	accuracy	0.45416666666666666	otherclones	True	61
ixazomib	accuracy	0.4777777777777778	otherclones	True	61
cb5083	avg_precision	0.4791327913279133	otherclones	True	61
ixazomib	avg_precision	0.48935185185185187	otherclones	True	61
cb5083	accuracy	0.5125	otherclones	True	62
ixazomib	accuracy	0.4888888888888889	otherclones	True	62
cb5083	avg_precision	0.5063909774436091	otherclones	True	62
ixazomib	avg_precision	0.4945736434108527	otherclones	True	62
cb5083	accuracy	0.43333333333333335	otherclones	True	63
ixazomib	accuracy	0.5833333333333334	otherclones	True	63
cb5083	avg_precision	0.4708333333333333	otherclones	True	63
ixazomib	avg_precision	0.5485347985347986	otherclones	True	63
cb5083	accuracy	0.4708333333333333	otherclones	True	64
ixazomib	accuracy	0.4777777777777778	otherclones	True	64
cb5083	avg_precision	0.486304347826087	otherclones	True	64
ixazomib	avg_precision	0.4893162393162393	otherclones	True	64
cb5083	accuracy	0.4791666666666667	otherclones	True	65
ixazomib	accuracy	0.4888888888888889	otherclones	True	65
cb5083	avg_precision	0.4900442477876107	otherclones	True	65
ixazomib	avg_precision	0.49454926624737944	otherclones	True	65
cb5083	accuracy	0.49583333333333335	otherclones	True	66
ixazomib	accuracy	0.5444444444444444	otherclones	True	66
cb5083	avg_precision	0.4979325699745547	otherclones	True	66
ixazomib	avg_precision	0.5242424242424242	otherclones	True	66
cb5083	accuracy	0.5333333333333333	otherclones	True	67
ixazomib	accuracy	0.5166666666666667	otherclones	True	67
cb5083	avg_precision	0.5177248677248677	otherclones	True	67
ixazomib	avg_precision	0.5086021505376344	otherclones	True	67
cb5083	accuracy	0.5083333333333333	otherclones	True	68
ixazomib	accuracy	0.5277777777777778	otherclones	True	68
cb5083	avg_precision	0.5042338709677419	otherclones	True	68
ixazomib	avg_precision	0.5146198830409356	otherclones	True	68
cb5083	accuracy	0.4666666666666667	otherclones	True	69
ixazomib	accuracy	0.5277777777777778	otherclones	True	69
cb5083	avg_precision	0.484375	otherclones	True	69
ixazomib	avg_precision	0.5146520146520146	otherclones	True	69
cb5083	accuracy	0.525	otherclones	True	70
ixazomib	accuracy	0.46111111111111114	otherclones	True	70
cb5083	avg_precision	0.513135593220339	otherclones	True	70
ixazomib	avg_precision	0.48190319031903195	otherclones	True	70
cb5083	accuracy	0.4666666666666667	otherclones	True	71
ixazomib	accuracy	0.48333333333333334	otherclones	True	71
cb5083	avg_precision	0.4844262295081967	otherclones	True	71
ixazomib	avg_precision	0.4919243986254295	otherclones	True	71
cb5083	accuracy	0.5041666666666667	otherclones	True	72
ixazomib	accuracy	0.5444444444444444	otherclones	True	72
cb5083	avg_precision	0.5020985401459854	otherclones	True	72
ixazomib	avg_precision	0.524390243902439	otherclones	True	72
cb5083	accuracy	0.5291666666666667	otherclones	True	73
ixazomib	accuracy	0.5555555555555556	otherclones	True	73
cb5083	avg_precision	0.5154000000000001	otherclones	True	73
ixazomib	avg_precision	0.5307328605200945	otherclones	True	73
cb5083	accuracy	0.48333333333333334	otherclones	True	74
ixazomib	accuracy	0.5833333333333334	otherclones	True	74
cb5083	avg_precision	0.49193548387096775	otherclones	True	74
ixazomib	avg_precision	0.5482456140350878	otherclones	True	74
cb5083	accuracy	0.5333333333333333	otherclones	True	75
ixazomib	accuracy	0.46111111111111114	otherclones	True	75
cb5083	avg_precision	0.5177248677248677	otherclones	True	75
ixazomib	avg_precision	0.4820191158900836	otherclones	True	75
cb5083	accuracy	0.4791666666666667	otherclones	True	76
ixazomib	accuracy	0.5333333333333333	otherclones	True	76
cb5083	avg_precision	0.4900442477876107	otherclones	True	76
ixazomib	avg_precision	0.5176100628930818	otherclones	True	76
cb5083	accuracy	0.5041666666666667	otherclones	True	77
ixazomib	accuracy	0.4777777777777778	otherclones	True	77
cb5083	avg_precision	0.5021005509641874	otherclones	True	77
ixazomib	avg_precision	0.48934240362811793	otherclones	True	77
cb5083	accuracy	0.49583333333333335	otherclones	True	78
ixazomib	accuracy	0.4777777777777778	otherclones	True	78
cb5083	avg_precision	0.4979344729344729	otherclones	True	78
ixazomib	avg_precision	0.48932461873638344	otherclones	True	78
cb5083	accuracy	0.5166666666666667	otherclones	True	79
ixazomib	accuracy	0.48333333333333334	otherclones	True	79
cb5083	avg_precision	0.5086065573770492	otherclones	True	79
ixazomib	avg_precision	0.4919243986254295	otherclones	True	79
cb5083	accuracy	0.5375	otherclones	True	80
ixazomib	accuracy	0.5	otherclones	True	80
cb5083	avg_precision	0.5200787401574803	otherclones	True	80
ixazomib	avg_precision	0.5	otherclones	True	80
cb5083	accuracy	0.5041666666666667	otherclones	True	81
ixazomib	accuracy	0.5222222222222223	otherclones	True	81
cb5083	avg_precision	0.5020989974937344	otherclones	True	81
ixazomib	avg_precision	0.5116279069767442	otherclones	True	81
cb5083	accuracy	0.5041666666666667	otherclones	True	82
ixazomib	accuracy	0.5222222222222223	otherclones	True	82
cb5083	avg_precision	0.5020992366412214	otherclones	True	82
ixazomib	avg_precision	0.5116161616161616	otherclones	True	82
cb5083	accuracy	0.49166666666666664	otherclones	True	83
ixazomib	accuracy	0.5388888888888889	otherclones	True	83
cb5083	avg_precision	0.49590517241379306	otherclones	True	83
ixazomib	avg_precision	0.5207659115426105	otherclones	True	83
cb5083	accuracy	0.5541666666666667	otherclones	True	84
ixazomib	accuracy	0.5333333333333333	otherclones	True	84
cb5083	avg_precision	0.529812661498708	otherclones	True	84
ixazomib	avg_precision	0.5177777777777778	otherclones	True	84
cb5083	accuracy	0.4708333333333333	otherclones	True	85
ixazomib	accuracy	0.5	otherclones	True	85
cb5083	avg_precision	0.48624661246612466	otherclones	True	85
ixazomib	avg_precision	0.5	otherclones	True	85
cb5083	accuracy	0.48333333333333334	otherclones	True	86
ixazomib	accuracy	0.4722222222222222	otherclones	True	86
cb5083	avg_precision	0.49193548387096775	otherclones	True	86
ixazomib	avg_precision	0.48684210526315785	otherclones	True	86
cb5083	accuracy	0.5166666666666667	otherclones	True	87
ixazomib	accuracy	0.5388888888888889	otherclones	True	87
cb5083	avg_precision	0.5085858585858586	otherclones	True	87
ixazomib	avg_precision	0.5210089399744573	otherclones	True	87
cb5083	accuracy	0.5083333333333333	otherclones	True	88
ixazomib	accuracy	0.49444444444444446	otherclones	True	88
cb5083	avg_precision	0.5042338709677419	otherclones	True	88
ixazomib	avg_precision	0.4972514619883041	otherclones	True	88
cb5083	accuracy	0.5208333333333334	otherclones	True	89
ixazomib	accuracy	0.4777777777777778	otherclones	True	89
cb5083	avg_precision	0.5108471074380165	otherclones	True	89
ixazomib	avg_precision	0.48934240362811793	otherclones	True	89
cb5083	accuracy	0.4583333333333333	otherclones	True	90
ixazomib	accuracy	0.55	otherclones	True	90
cb5083	avg_precision	0.48096264367816094	otherclones	True	90
ixazomib	avg_precision	0.5271844660194175	otherclones	True	90
cb5083	accuracy	0.49583333333333335	otherclones	True	91
ixazomib	accuracy	0.5333333333333333	otherclones	True	91
cb5083	avg_precision	0.49793233082706767	otherclones	True	91
ixazomib	avg_precision	0.517829457364341	otherclones	True	91
cb5083	accuracy	0.42916666666666664	otherclones	True	92
ixazomib	accuracy	0.5333333333333333	otherclones	True	92
cb5083	avg_precision	0.4697293447293447	otherclones	True	92
ixazomib	avg_precision	0.5176470588235293	otherclones	True	92
cb5083	accuracy	0.5166666666666667	otherclones	True	93
ixazomib	accuracy	0.5055555555555555	otherclones	True	93
cb5083	avg_precision	0.50859375	otherclones	True	93
ixazomib	avg_precision	0.5028083028083028	otherclones	True	93
cb5083	accuracy	0.525	otherclones	True	94
ixazomib	accuracy	0.4722222222222222	otherclones	True	94
cb5083	avg_precision	0.5130681818181818	otherclones	True	94
ixazomib	avg_precision	0.4869093231162197	otherclones	True	94
cb5083	accuracy	0.475	otherclones	True	95
ixazomib	accuracy	0.5166666666666667	otherclones	True	95
cb5083	avg_precision	0.4880952380952381	otherclones	True	95
ixazomib	avg_precision	0.5086021505376344	otherclones	True	95
cb5083	accuracy	0.5166666666666667	otherclones	True	96
ixazomib	accuracy	0.45	otherclones	True	96
cb5083	avg_precision	0.5086021505376344	otherclones	True	96
ixazomib	avg_precision	0.47736842105263155	otherclones	True	96
cb5083	accuracy	0.5083333333333333	otherclones	True	97
ixazomib	accuracy	0.48333333333333334	otherclones	True	97
cb5083	avg_precision	0.5042361111111111	otherclones	True	97
ixazomib	avg_precision	0.4919191919191919	otherclones	True	97
cb5083	accuracy	0.5375	otherclones	True	98
ixazomib	accuracy	0.4666666666666667	otherclones	True	98
cb5083	avg_precision	0.5201	otherclones	True	98
ixazomib	avg_precision	0.48439716312056735	otherclones	True	98
cb5083	accuracy	0.5	otherclones	True	99
ixazomib	accuracy	0.5277777777777778	otherclones	True	99
cb5083	avg_precision	0.5	otherclones	True	99
ixazomib	avg_precision	0.5146520146520146	otherclones	True	99
