Metadata_model_split	Metadata_Plate	metric	metric_value	dataset	shuffle	permutation
holdout	219973	avg_precision	0.4	bortezomib	True	3
holdout	220039	avg_precision	0.3555555555555556	bortezomib	True	3
holdout	220040	avg_precision	0.36250000000000004	bortezomib	True	3
holdout	220055	avg_precision	0.3555555555555556	bortezomib	True	3
inference	MutClones	avg_precision	0.9383180172653858	bortezomib	True	3
inference	WTClones	avg_precision		bortezomib	True	3
test	219907	avg_precision	0.75	bortezomib	True	3
test	219956	avg_precision	0.6666666666666666	bortezomib	True	3
test	219973	avg_precision	1.0	bortezomib	True	3
test	220039	avg_precision	0.42857142857142855	bortezomib	True	3
test	220040	avg_precision	0.4	bortezomib	True	3
test	220055	avg_precision	0.6666666666666666	bortezomib	True	3
training	219907	avg_precision	0.5263655462184874	bortezomib	True	3
training	219956	avg_precision	0.4561121323529412	bortezomib	True	3
training	219973	avg_precision	0.5374331550802138	bortezomib	True	3
training	220039	avg_precision	0.5600713012477718	bortezomib	True	3
training	220040	avg_precision	0.5236874236874237	bortezomib	True	3
training	220055	avg_precision	0.4852941176470588	bortezomib	True	3
validation	219901	avg_precision	0.49026915113871633	bortezomib	True	3
holdout	219907	accuracy	0.7	bortezomib	True	4
holdout	219956	accuracy	0.6	bortezomib	True	4
holdout	219973	accuracy	0.45	bortezomib	True	4
holdout	220039	accuracy	0.4	bortezomib	True	4
holdout	220040	accuracy	0.55	bortezomib	True	4
holdout	220055	accuracy	0.55	bortezomib	True	4
inference	MutClones	accuracy	0.42105263157894735	bortezomib	True	4
inference	WTClones	accuracy	0.5625	bortezomib	True	4
test	219907	accuracy	0.8	bortezomib	True	4
test	219956	accuracy	0.3333333333333333	bortezomib	True	4
test	219973	accuracy	0.5714285714285714	bortezomib	True	4
test	220039	accuracy	0.42857142857142855	bortezomib	True	4
test	220040	accuracy	0.4	bortezomib	True	4
test	220055	accuracy	0.3333333333333333	bortezomib	True	4
training	219907	accuracy	0.4857142857142857	bortezomib	True	4
training	219956	accuracy	0.5294117647058824	bortezomib	True	4
training	219973	accuracy	0.5151515151515151	bortezomib	True	4
training	220039	accuracy	0.45454545454545453	bortezomib	True	4
training	220040	accuracy	0.6	bortezomib	True	4
training	220055	accuracy	0.5588235294117647	bortezomib	True	4
validation	219901	accuracy	0.55	bortezomib	True	4
holdout	219907	avg_precision	0.5604166666666668	bortezomib	True	4
holdout	219956	avg_precision	0.45	bortezomib	True	4
holdout	219973	avg_precision	0.38181818181818183	bortezomib	True	4
holdout	220039	avg_precision	0.3666666666666667	bortezomib	True	4
holdout	220040	avg_precision	0.4107142857142857	bortezomib	True	4
holdout	220055	avg_precision	0.4340909090909091	bortezomib	True	4
inference	MutClones	avg_precision	0.9510975506398847	bortezomib	True	4
inference	WTClones	avg_precision		bortezomib	True	4
test	219907	avg_precision	0.8666666666666667	bortezomib	True	4
test	219956	avg_precision	0.6666666666666666	bortezomib	True	4
test	219973	avg_precision	0.2857142857142857	bortezomib	True	4
test	220039	avg_precision	0.4095238095238095	bortezomib	True	4
test	220040	avg_precision	0.4	bortezomib	True	4
test	220055	avg_precision	0.625	bortezomib	True	4
training	219907	avg_precision	0.47859614434008896	bortezomib	True	4
training	219956	avg_precision	0.4852941176470588	bortezomib	True	4
training	219973	avg_precision	0.5636363636363636	bortezomib	True	4
training	220039	avg_precision	0.49518716577540106	bortezomib	True	4
training	220040	avg_precision	0.5785714285714285	bortezomib	True	4
training	220055	avg_precision	0.49866310160427807	bortezomib	True	4
validation	219901	avg_precision	0.49026915113871633	bortezomib	True	4
holdout	219907	accuracy	0.7	bortezomib	True	5
holdout	219956	accuracy	0.6	bortezomib	True	5
holdout	219973	accuracy	0.7	bortezomib	True	5
holdout	220039	accuracy	0.5	bortezomib	True	5
holdout	220040	accuracy	0.65	bortezomib	True	5
holdout	220055	accuracy	0.45	bortezomib	True	5
inference	MutClones	accuracy	0.49122807017543857	bortezomib	True	5
inference	WTClones	accuracy	0.5416666666666666	bortezomib	True	5
test	219907	accuracy	0.8	bortezomib	True	5
test	219956	accuracy	0.8333333333333334	bortezomib	True	5
test	219973	accuracy	0.42857142857142855	bortezomib	True	5
test	220039	accuracy	0.42857142857142855	bortezomib	True	5
test	220040	accuracy	0.6	bortezomib	True	5
test	220055	accuracy	0.16666666666666666	bortezomib	True	5
training	219907	accuracy	0.5714285714285714	bortezomib	True	5
training	219956	accuracy	0.4117647058823529	bortezomib	True	5
training	219973	accuracy	0.5454545454545454	bortezomib	True	5
training	220039	accuracy	0.36363636363636365	bortezomib	True	5
training	220040	accuracy	0.3142857142857143	bortezomib	True	5
training	220055	accuracy	0.47058823529411764	bortezomib	True	5
validation	219901	accuracy	0.48333333333333334	bortezomib	True	5
holdout	219907	avg_precision	0.5604166666666668	bortezomib	True	5
holdout	219956	avg_precision	0.4625	bortezomib	True	5
holdout	219973	avg_precision	0.5499999999999999	bortezomib	True	5
holdout	220039	avg_precision	0.4	bortezomib	True	5
holdout	220040	avg_precision	0.509090909090909	bortezomib	True	5
holdout	220055	avg_precision	0.37142857142857144	bortezomib	True	5
inference	MutClones	avg_precision	0.954876904194643	bortezomib	True	5
inference	WTClones	avg_precision		bortezomib	True	5
test	219907	avg_precision	0.8666666666666667	bortezomib	True	5
test	219956	avg_precision	0.9166666666666666	bortezomib	True	5
test	219973	avg_precision	0.26785714285714285	bortezomib	True	5
test	220039	avg_precision	0.39682539682539686	bortezomib	True	5
test	220040	avg_precision	0.4	bortezomib	True	5
test	220055	avg_precision	0.5833333333333334	bortezomib	True	5
training	219907	avg_precision	0.5259103641456583	bortezomib	True	5
training	219956	avg_precision	0.4348447712418301	bortezomib	True	5
training	219973	avg_precision	0.5808080808080808	bortezomib	True	5
training	220039	avg_precision	0.47237076648841353	bortezomib	True	5
training	220040	avg_precision	0.47023809523809523	bortezomib	True	5
training	220055	avg_precision	0.45751633986928103	bortezomib	True	5
validation	219901	avg_precision	0.45238095238095233	bortezomib	True	5
holdout	219907	accuracy	0.55	bortezomib	True	6
holdout	219956	accuracy	0.5	bortezomib	True	6
holdout	219973	accuracy	0.5	bortezomib	True	6
holdout	220039	accuracy	0.3	bortezomib	True	6
holdout	220040	accuracy	0.6	bortezomib	True	6
holdout	220055	accuracy	0.45	bortezomib	True	6
inference	MutClones	accuracy	0.3157894736842105	bortezomib	True	6
inference	WTClones	accuracy	0.5625	bortezomib	True	6
test	219907	accuracy	0.8	bortezomib	True	6
test	219956	accuracy	0.16666666666666666	bortezomib	True	6
test	219973	accuracy	0.42857142857142855	bortezomib	True	6
test	220039	accuracy	0.42857142857142855	bortezomib	True	6
test	220040	accuracy	0.6	bortezomib	True	6
test	220055	accuracy	0.6666666666666666	bortezomib	True	6
training	219907	accuracy	0.6	bortezomib	True	6
training	219956	accuracy	0.6176470588235294	bortezomib	True	6
training	219973	accuracy	0.42424242424242425	bortezomib	True	6
training	220039	accuracy	0.5454545454545454	bortezomib	True	6
training	220040	accuracy	0.6	bortezomib	True	6
training	220055	accuracy	0.5294117647058824	bortezomib	True	6
validation	219901	accuracy	0.45	bortezomib	True	6
holdout	219907	avg_precision	0.4107142857142857	bortezomib	True	6
holdout	219956	avg_precision	0.4	bortezomib	True	6
holdout	219973	avg_precision	0.4104166666666667	bortezomib	True	6
holdout	220039	avg_precision	0.34375	bortezomib	True	6
holdout	220040	avg_precision	0.4625	bortezomib	True	6
holdout	220055	avg_precision	0.37142857142857144	bortezomib	True	6
inference	MutClones	avg_precision	0.9307992202729044	bortezomib	True	6
inference	WTClones	avg_precision		bortezomib	True	6
test	219907	avg_precision	0.75	bortezomib	True	6
test	219956	avg_precision	0.5833333333333334	bortezomib	True	6
test	219973	avg_precision	0.26785714285714285	bortezomib	True	6
test	220039	avg_precision	0.39682539682539686	bortezomib	True	6
test	220040	avg_precision	0.4	bortezomib	True	6
test	220055	avg_precision	0.7291666666666666	bortezomib	True	6
training	219907	avg_precision	0.5477463712757831	bortezomib	True	6
training	219956	avg_precision	0.5431149732620321	bortezomib	True	6
training	219973	avg_precision	0.5121806298276886	bortezomib	True	6
training	220039	avg_precision	0.5432263814616756	bortezomib	True	6
training	220040	avg_precision	0.5714285714285714	bortezomib	True	6
training	220055	avg_precision	0.4779411764705882	bortezomib	True	6
validation	219901	avg_precision	0.44338624338624344	bortezomib	True	6
holdout	219907	accuracy	0.35	bortezomib	True	7
holdout	219956	accuracy	0.4	bortezomib	True	7
holdout	219973	accuracy	0.6	bortezomib	True	7
holdout	220039	accuracy	0.45	bortezomib	True	7
holdout	220040	accuracy	0.3	bortezomib	True	7
holdout	220055	accuracy	0.5	bortezomib	True	7
inference	MutClones	accuracy	0.3684210526315789	bortezomib	True	7
inference	WTClones	accuracy	0.5416666666666666	bortezomib	True	7
test	219907	accuracy	0.6	bortezomib	True	7
test	219956	accuracy	0.3333333333333333	bortezomib	True	7
test	219973	accuracy	0.2857142857142857	bortezomib	True	7
test	220039	accuracy	0.7142857142857143	bortezomib	True	7
test	220040	accuracy	0.6	bortezomib	True	7
test	220055	accuracy	0.3333333333333333	bortezomib	True	7
training	219907	accuracy	0.4857142857142857	bortezomib	True	7
training	219956	accuracy	0.5882352941176471	bortezomib	True	7
training	219973	accuracy	0.3333333333333333	bortezomib	True	7
training	220039	accuracy	0.5757575757575758	bortezomib	True	7
training	220040	accuracy	0.4	bortezomib	True	7
training	220055	accuracy	0.5882352941176471	bortezomib	True	7
validation	219901	accuracy	0.5333333333333333	bortezomib	True	7
holdout	219907	avg_precision	0.3555555555555556	bortezomib	True	7
holdout	219956	avg_precision	0.36250000000000004	bortezomib	True	7
holdout	219973	avg_precision	0.45	bortezomib	True	7
holdout	220039	avg_precision	0.375	bortezomib	True	7
holdout	220040	avg_precision	0.35000000000000003	bortezomib	True	7
holdout	220055	avg_precision	0.4	bortezomib	True	7
inference	MutClones	avg_precision	0.933191564770512	bortezomib	True	7
inference	WTClones	avg_precision		bortezomib	True	7
test	219907	avg_precision	0.6444444444444444	bortezomib	True	7
test	219956	avg_precision	0.625	bortezomib	True	7
test	219973	avg_precision	0.2857142857142857	bortezomib	True	7
test	220039	avg_precision	0.5873015873015873	bortezomib	True	7
test	220040	avg_precision	0.45	bortezomib	True	7
test	220055	avg_precision	0.625	bortezomib	True	7
training	219907	avg_precision	0.4771816418875242	bortezomib	True	7
training	219956	avg_precision	0.5191176470588235	bortezomib	True	7
training	219973	avg_precision	0.4931457431457431	bortezomib	True	7
training	220039	avg_precision	0.5600713012477718	bortezomib	True	7
training	220040	avg_precision	0.47826617826617823	bortezomib	True	7
training	220055	avg_precision	0.5210084033613445	bortezomib	True	7
validation	219901	avg_precision	0.48214285714285715	bortezomib	True	7
holdout	219907	accuracy	0.5	bortezomib	True	8
holdout	219956	accuracy	0.35	bortezomib	True	8
holdout	219973	accuracy	0.5	bortezomib	True	8
holdout	220039	accuracy	0.4	bortezomib	True	8
holdout	220040	accuracy	0.35	bortezomib	True	8
holdout	220055	accuracy	0.65	bortezomib	True	8
inference	MutClones	accuracy	0.45614035087719296	bortezomib	True	8
inference	WTClones	accuracy	0.6041666666666666	bortezomib	True	8
test	219907	accuracy	0.4	bortezomib	True	8
test	219956	accuracy	0.5	bortezomib	True	8
test	219973	accuracy	0.5714285714285714	bortezomib	True	8
test	220039	accuracy	0.5714285714285714	bortezomib	True	8
test	220040	accuracy	0.8	bortezomib	True	8
test	220055	accuracy	0.6666666666666666	bortezomib	True	8
training	219907	accuracy	0.6857142857142857	bortezomib	True	8
training	219956	accuracy	0.47058823529411764	bortezomib	True	8
training	219973	accuracy	0.42424242424242425	bortezomib	True	8
training	220039	accuracy	0.696969696969697	bortezomib	True	8
training	220040	accuracy	0.45714285714285713	bortezomib	True	8
training	220055	accuracy	0.5588235294117647	bortezomib	True	8
validation	219901	accuracy	0.5666666666666667	bortezomib	True	8
holdout	219907	avg_precision	0.38333333333333336	bortezomib	True	8
holdout	219956	avg_precision	0.3522727272727273	bortezomib	True	8
holdout	219973	avg_precision	0.390625	bortezomib	True	8
holdout	220039	avg_precision	0.36250000000000004	bortezomib	True	8
holdout	220040	avg_precision	0.3678571428571429	bortezomib	True	8
holdout	220055	avg_precision	0.509090909090909	bortezomib	True	8
inference	MutClones	avg_precision	0.9697855750487329	bortezomib	True	8
inference	WTClones	avg_precision		bortezomib	True	8
test	219907	avg_precision	0.5666666666666667	bortezomib	True	8
test	219956	avg_precision	0.75	bortezomib	True	8
test	219973	avg_precision	0.30952380952380953	bortezomib	True	8
test	220039	avg_precision	0.47619047619047616	bortezomib	True	8
test	220040	avg_precision	0.7	bortezomib	True	8
test	220055	avg_precision	0.7291666666666666	bortezomib	True	8
training	219907	avg_precision	0.616281512605042	bortezomib	True	8
training	219956	avg_precision	0.4537377450980392	bortezomib	True	8
training	219973	avg_precision	0.5121806298276886	bortezomib	True	8
training	220039	avg_precision	0.6646098999040175	bortezomib	True	8
training	220040	avg_precision	0.49576719576719575	bortezomib	True	8
training	220055	avg_precision	0.5019607843137255	bortezomib	True	8
validation	219901	avg_precision	0.5025641025641026	bortezomib	True	8
holdout	219907	accuracy	0.4	bortezomib	True	9
holdout	219956	accuracy	0.55	bortezomib	True	9
holdout	219973	accuracy	0.5	bortezomib	True	9
holdout	220039	accuracy	0.5	bortezomib	True	9
holdout	220040	accuracy	0.35	bortezomib	True	9
holdout	220055	accuracy	0.5	bortezomib	True	9
inference	MutClones	accuracy	0.3508771929824561	bortezomib	True	9
inference	WTClones	accuracy	0.625	bortezomib	True	9
test	219907	accuracy	0.6	bortezomib	True	9
test	219956	accuracy	0.3333333333333333	bortezomib	True	9
test	219973	accuracy	0.2857142857142857	bortezomib	True	9
test	220039	accuracy	0.2857142857142857	bortezomib	True	9
test	220040	accuracy	0.4	bortezomib	True	9
test	220055	accuracy	0.6666666666666666	bortezomib	True	9
training	219907	accuracy	0.4857142857142857	bortezomib	True	9
training	219956	accuracy	0.5588235294117647	bortezomib	True	9
training	219973	accuracy	0.48484848484848486	bortezomib	True	9
training	220039	accuracy	0.3333333333333333	bortezomib	True	9
training	220040	accuracy	0.5142857142857142	bortezomib	True	9
training	220055	accuracy	0.5	bortezomib	True	9
validation	219901	accuracy	0.4666666666666667	bortezomib	True	9
holdout	219907	avg_precision	0.3625	bortezomib	True	9
holdout	219956	avg_precision	0.4107142857142857	bortezomib	True	9
holdout	219973	avg_precision	0.4104166666666667	bortezomib	True	9
holdout	220039	avg_precision	0.4104166666666667	bortezomib	True	9
holdout	220040	avg_precision	0.3555555555555556	bortezomib	True	9
holdout	220055	avg_precision	0.4	bortezomib	True	9
inference	MutClones	avg_precision	0.9473684210526316	bortezomib	True	9
inference	WTClones	avg_precision		bortezomib	True	9
test	219907	avg_precision	0.6444444444444444	bortezomib	True	9
test	219956	avg_precision	0.5833333333333333	bortezomib	True	9
test	219973	avg_precision	0.2857142857142857	bortezomib	True	9
test	220039	avg_precision	0.42857142857142855	bortezomib	True	9
test	220040	avg_precision	0.3666666666666667	bortezomib	True	9
test	220055	avg_precision	0.8333333333333333	bortezomib	True	9
training	219907	avg_precision	0.4778711484593837	bortezomib	True	9
training	219956	avg_precision	0.5002828054298643	bortezomib	True	9
training	219973	avg_precision	0.54006734006734	bortezomib	True	9
training	220039	avg_precision	0.4723707664884135	bortezomib	True	9
training	220040	avg_precision	0.520969089390142	bortezomib	True	9
training	220055	avg_precision	0.46557486631016043	bortezomib	True	9
validation	219901	avg_precision	0.44880952380952377	bortezomib	True	9
holdout	219907	accuracy	0.6	bortezomib	True	10
holdout	219956	accuracy	0.5	bortezomib	True	10
holdout	219973	accuracy	0.5	bortezomib	True	10
holdout	220039	accuracy	0.45	bortezomib	True	10
holdout	220040	accuracy	0.65	bortezomib	True	10
holdout	220055	accuracy	0.5	bortezomib	True	10
inference	MutClones	accuracy	0.47368421052631576	bortezomib	True	10
inference	WTClones	accuracy	0.5833333333333334	bortezomib	True	10
test	219907	accuracy	0.4	bortezomib	True	10
test	219956	accuracy	0.3333333333333333	bortezomib	True	10
test	219973	accuracy	0.5714285714285714	bortezomib	True	10
test	220039	accuracy	0.5714285714285714	bortezomib	True	10
test	220040	accuracy	0.4	bortezomib	True	10
test	220055	accuracy	0.16666666666666666	bortezomib	True	10
training	219907	accuracy	0.45714285714285713	bortezomib	True	10
training	219956	accuracy	0.5294117647058824	bortezomib	True	10
training	219973	accuracy	0.48484848484848486	bortezomib	True	10
training	220039	accuracy	0.5151515151515151	bortezomib	True	10
training	220040	accuracy	0.42857142857142855	bortezomib	True	10
training	220055	accuracy	0.47058823529411764	bortezomib	True	10
validation	219901	accuracy	0.4166666666666667	bortezomib	True	10
holdout	219907	avg_precision	0.4625	bortezomib	True	10
holdout	219956	avg_precision	0.4	bortezomib	True	10
holdout	219973	avg_precision	0.4	bortezomib	True	10
holdout	220039	avg_precision	0.375	bortezomib	True	10
holdout	220040	avg_precision	0.509090909090909	bortezomib	True	10
holdout	220055	avg_precision	0.390625	bortezomib	True	10
inference	MutClones	avg_precision	0.9539286249812564	bortezomib	True	10
inference	WTClones	avg_precision		bortezomib	True	10
test	219907	avg_precision	0.5666666666666667	bortezomib	True	10
test	219956	avg_precision	0.625	bortezomib	True	10
test	219973	avg_precision	0.30952380952380953	bortezomib	True	10
test	220039	avg_precision	0.45238095238095244	bortezomib	True	10
test	220040	avg_precision	0.4	bortezomib	True	10
test	220055	avg_precision	0.6666666666666666	bortezomib	True	10
training	219907	avg_precision	0.4662931839402427	bortezomib	True	10
training	219956	avg_precision	0.48161764705882354	bortezomib	True	10
training	219973	avg_precision	0.5454545454545454	bortezomib	True	10
training	220039	avg_precision	0.5270350564468211	bortezomib	True	10
training	220040	avg_precision	0.48324514991181655	bortezomib	True	10
training	220055	avg_precision	0.45483193277310924	bortezomib	True	10
validation	219901	avg_precision	0.4323809523809524	bortezomib	True	10
holdout	219907	accuracy	0.55	bortezomib	True	11
holdout	219956	accuracy	0.6	bortezomib	True	11
holdout	219973	accuracy	0.35	bortezomib	True	11
holdout	220039	accuracy	0.6	bortezomib	True	11
holdout	220040	accuracy	0.6	bortezomib	True	11
holdout	220055	accuracy	0.55	bortezomib	True	11
inference	MutClones	accuracy	0.543859649122807	bortezomib	True	11
inference	WTClones	accuracy	0.6041666666666666	bortezomib	True	11
test	219907	accuracy	0.6	bortezomib	True	11
test	219956	accuracy	0.5	bortezomib	True	11
test	219973	accuracy	0.7142857142857143	bortezomib	True	11
test	220039	accuracy	0.2857142857142857	bortezomib	True	11
test	220040	accuracy	0.8	bortezomib	True	11
test	220055	accuracy	0.16666666666666666	bortezomib	True	11
training	219907	accuracy	0.5714285714285714	bortezomib	True	11
training	219956	accuracy	0.6764705882352942	bortezomib	True	11
training	219973	accuracy	0.5454545454545454	bortezomib	True	11
training	220039	accuracy	0.48484848484848486	bortezomib	True	11
training	220040	accuracy	0.5428571428571428	bortezomib	True	11
training	220055	accuracy	0.5588235294117647	bortezomib	True	11
validation	219901	accuracy	0.6166666666666667	bortezomib	True	11
holdout	219907	avg_precision	0.3916666666666667	bortezomib	True	11
holdout	219956	avg_precision	0.45	bortezomib	True	11
holdout	219973	avg_precision	0.3555555555555556	bortezomib	True	11
holdout	220039	avg_precision	0.45	bortezomib	True	11
holdout	220040	avg_precision	0.4625	bortezomib	True	11
