Metadata_model_split	metric	metric_value	dataset	shuffle	permutation
holdout	accuracy	0.4666666666666667	bortezomib	True	9
inference	accuracy	0.5238095238095238	bortezomib	True	9
test	accuracy	0.5416666666666666	bortezomib	True	9
training	accuracy	0.47058823529411764	bortezomib	True	9
validation	accuracy	0.5833333333333334	bortezomib	True	9
holdout	avg_precision	0.4495421245421246	bortezomib	True	9
inference	avg_precision	0.5271428571428571	bortezomib	True	9
test	avg_precision	0.41627358490566035	bortezomib	True	9
training	avg_precision	0.486159169550173	bortezomib	True	9
validation	avg_precision	0.5476190476190477	bortezomib	True	9
holdout	accuracy	0.5333333333333333	bortezomib	True	10
inference	accuracy	0.4380952380952381	bortezomib	True	10
test	accuracy	0.45	bortezomib	True	10
training	accuracy	0.5049019607843137	bortezomib	True	10
validation	accuracy	0.5	bortezomib	True	10
holdout	avg_precision	0.48809523809523814	bortezomib	True	10
inference	avg_precision	0.4869721473495058	bortezomib	True	10
test	avg_precision	0.37596726190476193	bortezomib	True	10
training	avg_precision	0.5024785194976867	bortezomib	True	10
validation	avg_precision	0.5	bortezomib	True	10
holdout	accuracy	0.5833333333333334	bortezomib	True	11
inference	accuracy	0.5428571428571428	bortezomib	True	11
test	accuracy	0.38333333333333336	bortezomib	True	11
training	accuracy	0.47058823529411764	bortezomib	True	11
validation	accuracy	0.6388888888888888	bortezomib	True	11
holdout	avg_precision	0.5142857142857142	bortezomib	True	11
inference	avg_precision	0.5375966625966626	bortezomib	True	11
test	avg_precision	0.35868055555555556	bortezomib	True	11
training	avg_precision	0.48627450980392156	bortezomib	True	11
validation	avg_precision	0.5845410628019324	bortezomib	True	11
holdout	accuracy	0.5166666666666667	bortezomib	True	12
inference	accuracy	0.5142857142857142	bortezomib	True	12
test	accuracy	0.38333333333333336	bortezomib	True	12
training	accuracy	0.5049019607843137	bortezomib	True	12
validation	accuracy	0.4166666666666667	bortezomib	True	12
holdout	avg_precision	0.4747126436781609	bortezomib	True	12
inference	avg_precision	0.5215533592892083	bortezomib	True	12
test	avg_precision	0.36000000000000004	bortezomib	True	12
training	avg_precision	0.5024752475247525	bortezomib	True	12
validation	avg_precision	0.4649122807017544	bortezomib	True	12
holdout	accuracy	0.4666666666666667	bortezomib	True	13
inference	accuracy	0.5047619047619047	bortezomib	True	13
test	accuracy	0.5	bortezomib	True	13
training	accuracy	0.5	bortezomib	True	13
validation	accuracy	0.5	bortezomib	True	13
holdout	avg_precision	0.4495421245421246	bortezomib	True	13
inference	avg_precision	0.5167582417582417	bortezomib	True	13
test	avg_precision	0.4	bortezomib	True	13
training	avg_precision	0.5	bortezomib	True	13
validation	avg_precision	0.5	bortezomib	True	13
holdout	accuracy	0.5166666666666667	bortezomib	True	14
inference	accuracy	0.5047619047619047	bortezomib	True	14
test	accuracy	0.43333333333333335	bortezomib	True	14
training	accuracy	0.5049019607843137	bortezomib	True	14
validation	accuracy	0.6111111111111112	bortezomib	True	14
holdout	avg_precision	0.47588325652841784	bortezomib	True	14
inference	avg_precision	0.517037037037037	bortezomib	True	14
test	avg_precision	0.3731854838709677	bortezomib	True	14
training	avg_precision	0.5024767801857586	bortezomib	True	14
validation	avg_precision	0.5714285714285714	bortezomib	True	14
holdout	accuracy	0.4166666666666667	bortezomib	True	15
inference	accuracy	0.5047619047619047	bortezomib	True	15
test	accuracy	0.575	bortezomib	True	15
training	accuracy	0.4950980392156863	bortezomib	True	15
validation	accuracy	0.5833333333333334	bortezomib	True	15
holdout	avg_precision	0.43227513227513226	bortezomib	True	15
inference	avg_precision	0.515652557319224	bortezomib	True	15
test	avg_precision	0.43324829931972786	bortezomib	True	15
training	avg_precision	0.4975732867404387	bortezomib	True	15
validation	avg_precision	0.55	bortezomib	True	15
holdout	accuracy	0.36666666666666664	bortezomib	True	16
inference	accuracy	0.5047619047619047	bortezomib	True	16
test	accuracy	0.5166666666666667	bortezomib	True	16
training	accuracy	0.5343137254901961	bortezomib	True	16
validation	accuracy	0.4166666666666667	bortezomib	True	16
holdout	avg_precision	0.419047619047619	bortezomib	True	16
inference	avg_precision	0.517037037037037	bortezomib	True	16
test	avg_precision	0.40339506172839507	bortezomib	True	16
training	avg_precision	0.5183459522422831	bortezomib	True	16
validation	avg_precision	0.46568627450980393	bortezomib	True	16
holdout	accuracy	0.55	bortezomib	True	17
inference	accuracy	0.5238095238095238	bortezomib	True	17
test	accuracy	0.4666666666666667	bortezomib	True	17
training	accuracy	0.49019607843137253	bortezomib	True	17
validation	accuracy	0.6388888888888888	bortezomib	True	17
holdout	avg_precision	0.49376026272578	bortezomib	True	17
inference	avg_precision	0.5271428571428571	bortezomib	True	17
test	avg_precision	0.3875	bortezomib	True	17
training	avg_precision	0.49521203830369354	bortezomib	True	17
validation	avg_precision	0.5845410628019324	bortezomib	True	17
holdout	accuracy	0.48333333333333334	bortezomib	True	18
inference	accuracy	0.4666666666666667	bortezomib	True	18
test	accuracy	0.425	bortezomib	True	18
training	accuracy	0.49019607843137253	bortezomib	True	18
validation	accuracy	0.5	bortezomib	True	18
holdout	avg_precision	0.4601731601731602	bortezomib	True	18
inference	avg_precision	0.4998917748917749	bortezomib	True	18
test	avg_precision	0.3750586854460094	bortezomib	True	18
training	avg_precision	0.4952023362536504	bortezomib	True	18
validation	avg_precision	0.5	bortezomib	True	18
holdout	accuracy	0.5	bortezomib	True	19
inference	accuracy	0.44761904761904764	bortezomib	True	19
test	accuracy	0.44166666666666665	bortezomib	True	19
training	accuracy	0.5098039215686274	bortezomib	True	19
validation	accuracy	0.4722222222222222	bortezomib	True	19
holdout	avg_precision	0.4655612244897959	bortezomib	True	19
inference	avg_precision	0.49116402116402114	bortezomib	True	19
test	avg_precision	0.37272727272727274	bortezomib	True	19
training	avg_precision	0.505	bortezomib	True	19
validation	avg_precision	0.48684210526315785	bortezomib	True	19
holdout	accuracy	0.43333333333333335	bortezomib	True	20
inference	accuracy	0.4857142857142857	bortezomib	True	20
test	accuracy	0.5	bortezomib	True	20
training	accuracy	0.5343137254901961	bortezomib	True	20
validation	accuracy	0.3611111111111111	bortezomib	True	20
holdout	avg_precision	0.4376700680272109	bortezomib	True	20
inference	avg_precision	0.5074074074074074	bortezomib	True	20
test	avg_precision	0.3967261904761905	bortezomib	True	20
training	avg_precision	0.5183699742523271	bortezomib	True	20
validation	avg_precision	0.4509803921568628	bortezomib	True	20
holdout	accuracy	0.4666666666666667	bortezomib	True	21
inference	accuracy	0.5142857142857142	bortezomib	True	21
test	accuracy	0.48333333333333334	bortezomib	True	21
training	accuracy	0.45098039215686275	bortezomib	True	21
validation	accuracy	0.5277777777777778	bortezomib	True	21
holdout	avg_precision	0.4530112044817927	bortezomib	True	21
inference	avg_precision	0.5212602212602212	bortezomib	True	21
test	avg_precision	0.3876543209876543	bortezomib	True	21
training	avg_precision	0.4782754010695187	bortezomib	True	21
validation	avg_precision	0.5145502645502646	bortezomib	True	21
holdout	accuracy	0.5833333333333334	bortezomib	True	22
inference	accuracy	0.5714285714285714	bortezomib	True	22
test	accuracy	0.48333333333333334	bortezomib	True	22
training	accuracy	0.45588235294117646	bortezomib	True	22
validation	accuracy	0.4166666666666667	bortezomib	True	22
holdout	avg_precision	0.5133333333333334	bortezomib	True	22
inference	avg_precision	0.5559334845049131	bortezomib	True	22
test	avg_precision	0.3951171875	bortezomib	True	22
training	avg_precision	0.48003095975232196	bortezomib	True	22
validation	avg_precision	0.4649122807017544	bortezomib	True	22
holdout	accuracy	0.5666666666666667	bortezomib	True	23
inference	accuracy	0.5619047619047619	bortezomib	True	23
test	accuracy	0.575	bortezomib	True	23
training	accuracy	0.4852941176470588	bortezomib	True	23
validation	accuracy	0.4444444444444444	bortezomib	True	23
holdout	avg_precision	0.5047619047619047	bortezomib	True	23
inference	avg_precision	0.5495767195767195	bortezomib	True	23
test	avg_precision	0.4414473684210526	bortezomib	True	23
training	avg_precision	0.49288425047438333	bortezomib	True	23
validation	avg_precision	0.47474747474747475	bortezomib	True	23
holdout	accuracy	0.5166666666666667	bortezomib	True	24
inference	accuracy	0.5428571428571428	bortezomib	True	24
test	accuracy	0.49166666666666664	bortezomib	True	24
training	accuracy	0.4852941176470588	bortezomib	True	24
validation	accuracy	0.3611111111111111	bortezomib	True	24
holdout	avg_precision	0.47705627705627707	bortezomib	True	24
inference	avg_precision	0.5388083735909823	bortezomib	True	24
test	avg_precision	0.3920454545454546	bortezomib	True	24
training	avg_precision	0.49287446937537904	bortezomib	True	24
validation	avg_precision	0.4470899470899471	bortezomib	True	24
holdout	accuracy	0.6333333333333333	bortezomib	True	25
inference	accuracy	0.49523809523809526	bortezomib	True	25
test	accuracy	0.6416666666666667	bortezomib	True	25
training	accuracy	0.5441176470588235	bortezomib	True	25
validation	accuracy	0.4722222222222222	bortezomib	True	25
holdout	avg_precision	0.5514880952380952	bortezomib	True	25
inference	avg_precision	0.5113246078158359	bortezomib	True	25
test	avg_precision	0.48692810457516345	bortezomib	True	25
training	avg_precision	0.5241055184960581	bortezomib	True	25
validation	avg_precision	0.4867149758454106	bortezomib	True	25
holdout	accuracy	0.5	bortezomib	True	26
inference	accuracy	0.49523809523809526	bortezomib	True	26
test	accuracy	0.4666666666666667	bortezomib	True	26
training	accuracy	0.5245098039215687	bortezomib	True	26
validation	accuracy	0.5	bortezomib	True	26
holdout	avg_precision	0.4623376623376623	bortezomib	True	26
inference	avg_precision	0.5113246078158359	bortezomib	True	26
test	avg_precision	0.3834051724137931	bortezomib	True	26
training	avg_precision	0.5128738364032481	bortezomib	True	26
validation	avg_precision	0.5	bortezomib	True	26
holdout	accuracy	0.4666666666666667	bortezomib	True	27
inference	accuracy	0.4857142857142857	bortezomib	True	27
test	accuracy	0.55	bortezomib	True	27
training	accuracy	0.5049019607843137	bortezomib	True	27
validation	accuracy	0.5277777777777778	bortezomib	True	27
holdout	avg_precision	0.4530112044817927	bortezomib	True	27
inference	avg_precision	0.5084656084656084	bortezomib	True	27
test	avg_precision	0.4202724358974359	bortezomib	True	27
training	avg_precision	0.5024747763182943	bortezomib	True	27
validation	avg_precision	0.5146198830409356	bortezomib	True	27
holdout	accuracy	0.5333333333333333	bortezomib	True	28
inference	accuracy	0.5428571428571428	bortezomib	True	28
test	accuracy	0.525	bortezomib	True	28
training	accuracy	0.5588235294117647	bortezomib	True	28
validation	accuracy	0.6944444444444444	bortezomib	True	28
holdout	avg_precision	0.48214285714285715	bortezomib	True	28
inference	avg_precision	0.5372134038800706	bortezomib	True	28
test	avg_precision	0.4051470588235294	bortezomib	True	28
training	avg_precision	0.532871972318339	bortezomib	True	28
validation	avg_precision	0.6330409356725146	bortezomib	True	28
holdout	accuracy	0.43333333333333335	bortezomib	True	29
inference	accuracy	0.6190476190476191	bortezomib	True	29
test	accuracy	0.475	bortezomib	True	29
training	accuracy	0.5441176470588235	bortezomib	True	29
validation	accuracy	0.4444444444444444	bortezomib	True	29
holdout	avg_precision	0.4392156862745098	bortezomib	True	29
inference	avg_precision	0.5898037918871252	bortezomib	True	29
test	avg_precision	0.3935323383084577	bortezomib	True	29
training	avg_precision	0.524450744153083	bortezomib	True	29
validation	avg_precision	0.475	bortezomib	True	29
holdout	accuracy	0.5666666666666667	bortezomib	True	30
inference	accuracy	0.5047619047619047	bortezomib	True	30
test	accuracy	0.5166666666666667	bortezomib	True	30
training	accuracy	0.4362745098039216	bortezomib	True	30
validation	accuracy	0.5277777777777778	bortezomib	True	30
holdout	avg_precision	0.5047619047619047	bortezomib	True	30
inference	avg_precision	0.5164805016656868	bortezomib	True	30
test	avg_precision	0.4086805555555556	bortezomib	True	30
training	avg_precision	0.4725911870124394	bortezomib	True	30
validation	avg_precision	0.5148148148148148	bortezomib	True	30
holdout	accuracy	0.5666666666666667	bortezomib	True	31
inference	accuracy	0.4380952380952381	bortezomib	True	31
test	accuracy	0.4583333333333333	bortezomib	True	31
training	accuracy	0.5147058823529411	bortezomib	True	31
validation	accuracy	0.5833333333333334	bortezomib	True	31
holdout	avg_precision	0.5058779761904761	bortezomib	True	31
inference	avg_precision	0.4869721473495058	bortezomib	True	31
test	avg_precision	0.3819672131147541	bortezomib	True	31
training	avg_precision	0.50759534583064	bortezomib	True	31
validation	avg_precision	0.55	bortezomib	True	31
holdout	accuracy	0.5166666666666667	bortezomib	True	32
inference	accuracy	0.580952380952381	bortezomib	True	32
test	accuracy	0.4166666666666667	bortezomib	True	32
training	accuracy	0.5049019607843137	bortezomib	True	32
validation	accuracy	0.4444444444444444	bortezomib	True	32
holdout	avg_precision	0.47238095238095235	bortezomib	True	32
inference	avg_precision	0.5612840862840862	bortezomib	True	32
test	avg_precision	0.3670138888888889	bortezomib	True	32
training	avg_precision	0.5024767801857586	bortezomib	True	32
validation	avg_precision	0.475	bortezomib	True	32
holdout	accuracy	0.48333333333333334	bortezomib	True	33
inference	accuracy	0.45714285714285713	bortezomib	True	33
test	accuracy	0.5	bortezomib	True	33
training	accuracy	0.44607843137254904	bortezomib	True	33
validation	accuracy	0.5833333333333334	bortezomib	True	33
holdout	avg_precision	0.45714285714285713	bortezomib	True	33
inference	avg_precision	0.4945692323050813	bortezomib	True	33
test	avg_precision	0.3967261904761905	bortezomib	True	33
training	avg_precision	0.47609662421669696	bortezomib	True	33
validation	avg_precision	0.5482456140350878	bortezomib	True	33
holdout	accuracy	0.5	bortezomib	True	34
inference	accuracy	0.5142857142857142	bortezomib	True	34
test	accuracy	0.5	bortezomib	True	34
training	accuracy	0.46568627450980393	bortezomib	True	34
validation	accuracy	0.5	bortezomib	True	34
holdout	avg_precision	0.46339285714285716	bortezomib	True	34
inference	avg_precision	0.5218487394957982	bortezomib	True	34
test	avg_precision	0.39513888888888893	bortezomib	True	34
training	avg_precision	0.4839449541284404	bortezomib	True	34
validation	avg_precision	0.5	bortezomib	True	34
holdout	accuracy	0.4166666666666667	bortezomib	True	35
inference	accuracy	0.44761904761904764	bortezomib	True	35
test	accuracy	0.475	bortezomib	True	35
training	accuracy	0.5147058823529411	bortezomib	True	35
validation	accuracy	0.5833333333333334	bortezomib	True	35
holdout	avg_precision	0.4329004329004329	bortezomib	True	35
inference	avg_precision	0.490525181265922	bortezomib	True	35
test	avg_precision	0.38484848484848483	bortezomib	True	35
training	avg_precision	0.5075803517283202	bortezomib	True	35
validation	avg_precision	0.5512820512820513	bortezomib	True	35
holdout	accuracy	0.5833333333333334	bortezomib	True	36
inference	accuracy	0.5714285714285714	bortezomib	True	36
test	accuracy	0.5	bortezomib	True	36
training	accuracy	0.5392156862745098	bortezomib	True	36
validation	accuracy	0.5555555555555556	bortezomib	True	36
holdout	avg_precision	0.5162826420890937	bortezomib	True	36
inference	avg_precision	0.5538011695906433	bortezomib	True	36
test	avg_precision	0.39208333333333334	bortezomib	True	36
training	avg_precision	0.5212418300653594	bortezomib	True	36
validation	avg_precision	0.5308641975308642	bortezomib	True	36
holdout	accuracy	0.4	bortezomib	True	37
inference	accuracy	0.5333333333333333	bortezomib	True	37
test	accuracy	0.5666666666666667	bortezomib	True	37
training	accuracy	0.5098039215686274	bortezomib	True	37
validation	accuracy	0.4166666666666667	bortezomib	True	37
holdout	avg_precision	0.42793040293040296	bortezomib	True	37
inference	avg_precision	0.5316017316017316	bortezomib	True	37
test	avg_precision	0.4388888888888889	bortezomib	True	37
training	avg_precision	0.5050085251491901	bortezomib	True	37
validation	avg_precision	0.4649122807017544	bortezomib	True	37
holdout	accuracy	0.43333333333333335	bortezomib	True	38
inference	accuracy	0.49523809523809526	bortezomib	True	38
test	accuracy	0.45	bortezomib	True	38
training	accuracy	0.5245098039215687	bortezomib	True	38
validation	accuracy	0.6111111111111112	bortezomib	True	38
holdout	avg_precision	0.4380952380952381	bortezomib	True	38
inference	avg_precision	0.512933568489124	bortezomib	True	38
test	avg_precision	0.3741185897435897	bortezomib	True	38
training	avg_precision	0.5128275609309144	bortezomib	True	38
validation	avg_precision	0.5679012345679013	bortezomib	True	38
holdout	accuracy	0.48333333333333334	bortezomib	True	39
inference	accuracy	0.5238095238095238	bortezomib	True	39
test	accuracy	0.49166666666666664	bortezomib	True	39
training	accuracy	0.47549019607843135	bortezomib	True	39
validation	accuracy	0.5833333333333334	bortezomib	True	39
holdout	avg_precision	0.45714285714285713	bortezomib	True	39
inference	avg_precision	0.5255731922398589	bortezomib	True	39
test	avg_precision	0.3920454545454546	bortezomib	True	39
training	avg_precision	0.48841844430079717	bortezomib	True	39
validation	avg_precision	0.5482456140350878	bortezomib	True	39
holdout	accuracy	0.4	bortezomib	True	40
inference	accuracy	0.49523809523809526	bortezomib	True	40
test	accuracy	0.5166666666666667	bortezomib	True	40
training	accuracy	0.5343137254901961	bortezomib	True	40
validation	accuracy	0.4444444444444444	bortezomib	True	40
holdout	avg_precision	0.4273809523809524	bortezomib	True	40
inference	avg_precision	0.5113246078158359	bortezomib	True	40
test	avg_precision	0.40339506172839507	bortezomib	True	40
training	avg_precision	0.5183949868607236	bortezomib	True	40
validation	avg_precision	0.4761904761904762	bortezomib	True	40
holdout	accuracy	0.45	bortezomib	True	41
inference	accuracy	0.44761904761904764	bortezomib	True	41
test	accuracy	0.5416666666666666	bortezomib	True	41
training	accuracy	0.47058823529411764	bortezomib	True	41
validation	accuracy	0.4444444444444444	bortezomib	True	41
holdout	avg_precision	0.4440065681444991	bortezomib	True	41
inference	avg_precision	0.49116402116402114	bortezomib	True	41
test	avg_precision	0.4143790849673203	bortezomib	True	41
training	avg_precision	0.4861265260821309	bortezomib	True	41
validation	avg_precision	0.4756944444444445	bortezomib	True	41
holdout	accuracy	0.4666666666666667	bortezomib	True	42
inference	accuracy	0.4666666666666667	bortezomib	True	42
test	accuracy	0.5	bortezomib	True	42
training	accuracy	0.5392156862745098	bortezomib	True	42
validation	accuracy	0.2777777777777778	bortezomib	True	42
holdout	avg_precision	0.4511904761904762	bortezomib	True	42
inference	avg_precision	0.499047619047619	bortezomib	True	42
test	avg_precision	0.3983477011494253	bortezomib	True	42
training	avg_precision	0.5212765957446808	bortezomib	True	42
validation	avg_precision	0.43333333333333335	bortezomib	True	42
holdout	accuracy	0.55	bortezomib	True	43
inference	accuracy	0.5142857142857142	bortezomib	True	43
test	accuracy	0.5	bortezomib	True	43
training	accuracy	0.5245098039215687	bortezomib	True	43
validation	accuracy	0.3611111111111111	bortezomib	True	43
holdout	avg_precision	0.49142857142857144	bortezomib	True	43
inference	avg_precision	0.5221466364323507	bortezomib	True	43
test	avg_precision	0.4	bortezomib	True	43
training	avg_precision	0.5128998968008256	bortezomib	True	43
validation	avg_precision	0.44565217391304346	bortezomib	True	43
holdout	accuracy	0.5	bortezomib	True	44
inference	accuracy	0.580952380952381	bortezomib	True	44
test	accuracy	0.5333333333333333	bortezomib	True	44
training	accuracy	0.5343137254901961	bortezomib	True	44
validation	accuracy	0.4166666666666667	bortezomib	True	44
holdout	avg_precision	0.46778273809523807	bortezomib	True	44
inference	avg_precision	0.5612840862840862	bortezomib	True	44
test	avg_precision	0.40694444444444444	bortezomib	True	44
training	avg_precision	0.5183459522422831	bortezomib	True	44
validation	avg_precision	0.4649122807017544	bortezomib	True	44
holdout	accuracy	0.48333333333333334	bortezomib	True	45
inference	accuracy	0.5714285714285714	bortezomib	True	45
test	accuracy	0.525	bortezomib	True	45
training	accuracy	0.4215686274509804	bortezomib	True	45
validation	accuracy	0.4722222222222222	bortezomib	True	45
holdout	avg_precision	0.45527950310559007	bortezomib	True	45
inference	avg_precision	0.5559334845049131	bortezomib	True	45
test	avg_precision	0.4105263157894737	bortezomib	True	45
training	avg_precision	0.46681749622926094	bortezomib	True	45
validation	avg_precision	0.48684210526315785	bortezomib	True	45
holdout	accuracy	0.5	bortezomib	True	46
inference	accuracy	0.42857142857142855	bortezomib	True	46
test	accuracy	0.475	bortezomib	True	46
training	accuracy	0.5245098039215687	bortezomib	True	46
validation	accuracy	0.3888888888888889	bortezomib	True	46
holdout	avg_precision	0.4666666666666667	bortezomib	True	46
inference	avg_precision	0.48484011962272827	bortezomib	True	46
test	avg_precision	0.3875706214689266	bortezomib	True	46
training	avg_precision	0.5128865979381443	bortezomib	True	46
validation	avg_precision	0.4555555555555556	bortezomib	True	46
holdout	accuracy	0.55	bortezomib	True	47
inference	accuracy	0.5238095238095238	bortezomib	True	47
test	accuracy	0.4583333333333333	bortezomib	True	47
training	accuracy	0.5343137254901961	bortezomib	True	47
validation	accuracy	0.5277777777777778	bortezomib	True	47
holdout	avg_precision	0.49376026272578	bortezomib	True	47
inference	avg_precision	0.5271428571428571	bortezomib	True	47
test	avg_precision	0.3755102040816327	bortezomib	True	47
training	avg_precision	0.5183228631258329	bortezomib	True	47
validation	avg_precision	0.5145502645502646	bortezomib	True	47
holdout	accuracy	0.5666666666666667	bortezomib	True	48
inference	accuracy	0.4857142857142857	bortezomib	True	48
test	accuracy	0.5	bortezomib	True	48
training	accuracy	0.43137254901960786	bortezomib	True	48
validation	accuracy	0.6111111111111112	bortezomib	True	48
holdout	avg_precision	0.5036564625850339	bortezomib	True	48
inference	avg_precision	0.5071428571428571	bortezomib	True	48
test	avg_precision	0.3983477011494253	bortezomib	True	48
training	avg_precision	0.4707968293700459	bortezomib	True	48
validation	avg_precision	0.5679012345679013	bortezomib	True	48
holdout	accuracy	0.5833333333333334	bortezomib	True	49
inference	accuracy	0.4857142857142857	bortezomib	True	49
test	accuracy	0.48333333333333334	bortezomib	True	49
training	accuracy	0.4950980392156863	bortezomib	True	49
validation	accuracy	0.6111111111111112	bortezomib	True	49
holdout	avg_precision	0.5142857142857142	bortezomib	True	49
inference	avg_precision	0.5079365079365079	bortezomib	True	49
test	avg_precision	0.3890625	bortezomib	True	49
training	avg_precision	0.49757377698554167	bortezomib	True	49
validation	avg_precision	0.5656565656565657	bortezomib	True	49
holdout	accuracy	0.5	bortezomib	True	50
inference	accuracy	0.49523809523809526	bortezomib	True	50
test	accuracy	0.4666666666666667	bortezomib	True	50
training	accuracy	0.47058823529411764	bortezomib	True	50
validation	accuracy	0.4722222222222222	bortezomib	True	50
holdout	avg_precision	0.46778273809523807	bortezomib	True	50
inference	avg_precision	0.512933568489124	bortezomib	True	50
test	avg_precision	0.38472222222222224	bortezomib	True	50
training	avg_precision	0.4861764705882353	bortezomib	True	50
validation	avg_precision	0.48703703703703705	bortezomib	True	50
holdout	accuracy	0.5333333333333333	bortezomib	True	51
inference	accuracy	0.49523809523809526	bortezomib	True	51
test	accuracy	0.5416666666666666	bortezomib	True	51
training	accuracy	0.5490196078431373	bortezomib	True	51
validation	accuracy	0.4444444444444444	bortezomib	True	51
holdout	avg_precision	0.48214285714285715	bortezomib	True	51
inference	avg_precision	0.5123960695389267	bortezomib	True	51
test	avg_precision	0.42010233918128653	bortezomib	True	51
training	avg_precision	0.5268665158371041	bortezomib	True	51
validation	avg_precision	0.4756944444444445	bortezomib	True	51
holdout	accuracy	0.5	bortezomib	True	52
inference	accuracy	0.5047619047619047	bortezomib	True	52
test	accuracy	0.5666666666666667	bortezomib	True	52
