column_match_pair_a,Metadata_CellLine_pair_a,Metadata_Dosage_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_CellLine_pair_b,Metadata_Dosage_pair_b
10,WT,0.7,5,0.08478976520211141,5,CloneA,0.0
11,WT,0.7,5,-0.35731163797704474,5,CloneA,0.0
12,CloneA,0.7,5,0.11668305582740827,5,CloneA,0.0
13,CloneA,0.7,5,0.09108172281322184,5,CloneA,0.0
14,CloneA,0.7,5,0.7701618430027475,5,CloneA,0.0
15,CloneE,0.7,5,0.5824436216809967,5,CloneA,0.0
16,CloneE,0.7,5,0.015566311124546994,5,CloneA,0.0
17,CloneE,0.7,5,0.014508906039183946,5,CloneA,0.0
18,WT,7.0,5,-0.4273126758126892,5,CloneA,0.0
19,WT,7.0,5,-0.3924078573386428,5,CloneA,0.0
20,WT,7.0,5,-0.22044734784045622,5,CloneA,0.0
21,CloneA,7.0,5,0.03725867790734255,5,CloneA,0.0
22,CloneA,7.0,5,-0.23733020059381588,5,CloneA,0.0
23,CloneA,7.0,5,-0.01668782945744563,5,CloneA,0.0
24,CloneE,7.0,5,-0.02518023936647857,5,CloneA,0.0
25,CloneE,7.0,5,-0.4319164970956443,5,CloneA,0.0
26,CloneE,7.0,5,-0.2932412468390995,5,CloneA,0.0
27,WT,70.0,5,-0.27668753147101927,5,CloneA,0.0
28,WT,70.0,5,-0.2645305969808251,5,CloneA,0.0
29,WT,70.0,5,-0.2917386697024153,5,CloneA,0.0
30,CloneA,70.0,5,-0.1516400121612902,5,CloneA,0.0
31,CloneA,70.0,5,-0.5687838194508964,5,CloneA,0.0
32,CloneA,70.0,5,-0.4493124654401316,5,CloneA,0.0
33,CloneE,70.0,5,-0.4777203473889477,5,CloneA,0.0
34,CloneE,70.0,5,-0.35734021505065955,5,CloneA,0.0
35,CloneE,70.0,5,-0.42493775346514295,5,CloneA,0.0
7,CloneE,0.0,6,0.8821520264141542,6,CloneE,0.0
8,CloneE,0.0,6,0.7046158369141444,6,CloneE,0.0
9,WT,0.7,6,-0.38178931252317927,6,CloneE,0.0
10,WT,0.7,6,-0.16036244985473938,6,CloneE,0.0
11,WT,0.7,6,-0.435487739466896,6,CloneE,0.0
12,CloneA,0.7,6,0.031462249854759976,6,CloneE,0.0
13,CloneA,0.7,6,0.03597135931227556,6,CloneE,0.0
14,CloneA,0.7,6,0.4774540853466684,6,CloneE,0.0
15,CloneE,0.7,6,0.62887451982426,6,CloneE,0.0
16,CloneE,0.7,6,0.2671353220689462,6,CloneE,0.0
17,CloneE,0.7,6,0.3900456549432595,6,CloneE,0.0
18,WT,7.0,6,-0.4139284169492754,6,CloneE,0.0
19,WT,7.0,6,-0.4332152001730836,6,CloneE,0.0
20,WT,7.0,6,-0.31869890009828117,6,CloneE,0.0
21,CloneA,7.0,6,-0.15100725776161722,6,CloneE,0.0
22,CloneA,7.0,6,-0.3130449797089741,6,CloneE,0.0
23,CloneA,7.0,6,-0.14201456341774427,6,CloneE,0.0
24,CloneE,7.0,6,0.02942369996667631,6,CloneE,0.0
25,CloneE,7.0,6,-0.22527067861187117,6,CloneE,0.0
26,CloneE,7.0,6,-0.06186812521087959,6,CloneE,0.0
27,WT,70.0,6,-0.32220374105560495,6,CloneE,0.0
28,WT,70.0,6,-0.2422679723441127,6,CloneE,0.0
29,WT,70.0,6,-0.32693715530897777,6,CloneE,0.0
30,CloneA,70.0,6,-0.34243812907902127,6,CloneE,0.0
31,CloneA,70.0,6,-0.6310523456239684,6,CloneE,0.0
32,CloneA,70.0,6,-0.4692391275704213,6,CloneE,0.0
33,CloneE,70.0,6,-0.3614355665047814,6,CloneE,0.0
34,CloneE,70.0,6,-0.18115170872428038,6,CloneE,0.0
35,CloneE,70.0,6,-0.2306869862040006,6,CloneE,0.0
8,CloneE,0.0,7,0.5622131911116869,7,CloneE,0.0
9,WT,0.7,7,-0.456655949791532,7,CloneE,0.0
10,WT,0.7,7,-0.13487528717761013,7,CloneE,0.0
11,WT,0.7,7,-0.46898494838396554,7,CloneE,0.0
12,CloneA,0.7,7,0.038024753753437675,7,CloneE,0.0
13,CloneA,0.7,7,0.08899069534519181,7,CloneE,0.0
14,CloneA,0.7,7,0.5985461511149364,7,CloneE,0.0
15,CloneE,0.7,7,0.6691546856462226,7,CloneE,0.0
16,CloneE,0.7,7,0.18054164468230277,7,CloneE,0.0
17,CloneE,0.7,7,0.24305018507888762,7,CloneE,0.0
18,WT,7.0,7,-0.3992540616280141,7,CloneE,0.0
19,WT,7.0,7,-0.380310598647989,7,CloneE,0.0
20,WT,7.0,7,-0.2998395813027127,7,CloneE,0.0
21,CloneA,7.0,7,-0.2087713327152252,7,CloneE,0.0
22,CloneA,7.0,7,-0.3772591395162582,7,CloneE,0.0
23,CloneA,7.0,7,-0.18807271678185106,7,CloneE,0.0
24,CloneE,7.0,7,-0.05104693141124248,7,CloneE,0.0
25,CloneE,7.0,7,-0.30791884570241423,7,CloneE,0.0
26,CloneE,7.0,7,-0.2537176683389002,7,CloneE,0.0
27,WT,70.0,7,-0.22744541493602768,7,CloneE,0.0
28,WT,70.0,7,-0.17618239440188235,7,CloneE,0.0
29,WT,70.0,7,-0.306070486508528,7,CloneE,0.0
30,CloneA,70.0,7,-0.28702908815358724,7,CloneE,0.0
31,CloneA,70.0,7,-0.587817810860211,7,CloneE,0.0
32,CloneA,70.0,7,-0.4647035064118167,7,CloneE,0.0
33,CloneE,70.0,7,-0.29683407238431636,7,CloneE,0.0
34,CloneE,70.0,7,-0.17062187613725902,7,CloneE,0.0
35,CloneE,70.0,7,-0.2092158232706938,7,CloneE,0.0
9,WT,0.7,8,-0.23106989557826357,8,CloneE,0.0
10,WT,0.7,8,-0.14768727074302163,8,CloneE,0.0
11,WT,0.7,8,-0.2773536985356713,8,CloneE,0.0
12,CloneA,0.7,8,-0.2178951222325646,8,CloneE,0.0
13,CloneA,0.7,8,-0.19024848450309587,8,CloneE,0.0
14,CloneA,0.7,8,0.0019394285546285948,8,CloneE,0.0
15,CloneE,0.7,8,0.493436324319324,8,CloneE,0.0
16,CloneE,0.7,8,0.21862513354592536,8,CloneE,0.0
17,CloneE,0.7,8,0.5516592612130718,8,CloneE,0.0
18,WT,7.0,8,-0.36321403707012784,8,CloneE,0.0
19,WT,7.0,8,-0.3678623160915065,8,CloneE,0.0
20,WT,7.0,8,-0.384843174015699,8,CloneE,0.0
21,CloneA,7.0,8,-0.0028459634096155177,8,CloneE,0.0
22,CloneA,7.0,8,-0.1930564378219425,8,CloneE,0.0
23,CloneA,7.0,8,0.09695615804574688,8,CloneE,0.0
24,CloneE,7.0,8,0.2810237866133044,8,CloneE,0.0
25,CloneE,7.0,8,0.045606715913039636,8,CloneE,0.0
26,CloneE,7.0,8,0.33266988168474837,8,CloneE,0.0
27,WT,70.0,8,-0.36639275463300897,8,CloneE,0.0
28,WT,70.0,8,-0.3548311115789896,8,CloneE,0.0
29,WT,70.0,8,-0.26983493174993145,8,CloneE,0.0
30,CloneA,70.0,8,-0.29683834740561155,8,CloneE,0.0
31,CloneA,70.0,8,-0.5487051070319554,8,CloneE,0.0
32,CloneA,70.0,8,-0.3836018892832776,8,CloneE,0.0
33,CloneE,70.0,8,-0.36401176474471647,8,CloneE,0.0
34,CloneE,70.0,8,-0.13172087777979344,8,CloneE,0.0
35,CloneE,70.0,8,-0.02428704734437921,8,CloneE,0.0
10,WT,0.7,9,0.5589615423340155,9,WT,0.7
11,WT,0.7,9,0.8460900231576847,9,WT,0.7
12,CloneA,0.7,9,0.028674425402895193,9,WT,0.7
13,CloneA,0.7,9,0.25455309615149685,9,WT,0.7
14,CloneA,0.7,9,-0.10090119261767354,9,WT,0.7
15,CloneE,0.7,9,-0.2337363945841331,9,WT,0.7
16,CloneE,0.7,9,-0.23019160793974508,9,WT,0.7
17,CloneE,0.7,9,-0.12727955792424922,9,WT,0.7
18,WT,7.0,9,0.0942736230221857,9,WT,0.7
19,WT,7.0,9,-0.03787001751899219,9,WT,0.7
20,WT,7.0,9,-0.1051852702464858,9,WT,0.7
21,CloneA,7.0,9,0.04748371718418652,9,WT,0.7
22,CloneA,7.0,9,0.15358590058104604,9,WT,0.7
23,CloneA,7.0,9,-0.08323104187989533,9,WT,0.7
24,CloneE,7.0,9,-0.12786666955569245,9,WT,0.7
25,CloneE,7.0,9,0.06791895592539948,9,WT,0.7
26,CloneE,7.0,9,-0.02323017948678655,9,WT,0.7
27,WT,70.0,9,-0.28657931758935784,9,WT,0.7
28,WT,70.0,9,-0.3610109691246254,9,WT,0.7
29,WT,70.0,9,-0.2699346231654709,9,WT,0.7
30,CloneA,70.0,9,-0.09090058798958074,9,WT,0.7
31,CloneA,70.0,9,0.28684352066411084,9,WT,0.7
32,CloneA,70.0,9,0.1833788202858945,9,WT,0.7
33,CloneE,70.0,9,-0.24549953643717684,9,WT,0.7
34,CloneE,70.0,9,-0.28412100407410806,9,WT,0.7
35,CloneE,70.0,9,-0.3235802948296292,9,WT,0.7
11,WT,0.7,10,0.625894227242148,10,WT,0.7
12,CloneA,0.7,10,-0.17379368348490884,10,WT,0.7
13,CloneA,0.7,10,-0.04907643406111734,10,WT,0.7
14,CloneA,0.7,10,0.26907975031117676,10,WT,0.7
15,CloneE,0.7,10,-0.12391810427125938,10,WT,0.7
16,CloneE,0.7,10,-0.44848078972358635,10,WT,0.7
17,CloneE,0.7,10,-0.34473075093580197,10,WT,0.7
18,WT,7.0,10,-0.1466305906391977,10,WT,0.7
19,WT,7.0,10,-0.148329206862616,10,WT,0.7
20,WT,7.0,10,0.07773325675700861,10,WT,0.7
21,CloneA,7.0,10,0.3001095626935837,10,WT,0.7
22,CloneA,7.0,10,0.011441120853393924,10,WT,0.7
23,CloneA,7.0,10,0.2201623902038886,10,WT,0.7
24,CloneE,7.0,10,0.03518349395705286,10,WT,0.7
25,CloneE,7.0,10,-0.2572926674228425,10,WT,0.7
26,CloneE,7.0,10,-0.2290971723769683,10,WT,0.7
27,WT,70.0,10,-0.22438655663260856,10,WT,0.7
28,WT,70.0,10,-0.3357314079666269,10,WT,0.7
29,WT,70.0,10,-0.15737753909066793,10,WT,0.7
30,CloneA,70.0,10,0.0911686791551413,10,WT,0.7
31,CloneA,70.0,10,-0.05890255887404591,10,WT,0.7
32,CloneA,70.0,10,-0.11000134780688679,10,WT,0.7
33,CloneE,70.0,10,-0.4119931527954282,10,WT,0.7
34,CloneE,70.0,10,-0.42293137585206286,10,WT,0.7
35,CloneE,70.0,10,-0.36469117293860615,10,WT,0.7
12,CloneA,0.7,11,-0.017020840338382862,11,WT,0.7
13,CloneA,0.7,11,0.19217454624044614,11,WT,0.7
14,CloneA,0.7,11,-0.14373000209786113,11,WT,0.7
15,CloneE,0.7,11,-0.20992435707734644,11,WT,0.7
16,CloneE,0.7,11,-0.2773751281498265,11,WT,0.7
17,CloneE,0.7,11,-0.16807181204976004,11,WT,0.7
18,WT,7.0,11,0.07602330414377519,11,WT,0.7
19,WT,7.0,11,-0.07218187020647032,11,WT,0.7
20,WT,7.0,11,-0.05922067811184444,11,WT,0.7
21,CloneA,7.0,11,0.021570521339613707,11,WT,0.7
22,CloneA,7.0,11,0.17454944034752265,11,WT,0.7
23,CloneA,7.0,11,-0.028029489167519506,11,WT,0.7
24,CloneE,7.0,11,-0.2179857878588196,11,WT,0.7
25,CloneE,7.0,11,0.05248027264022413,11,WT,0.7
26,CloneE,7.0,11,-0.08857372695016504,11,WT,0.7
27,WT,70.0,11,-0.12984878908232567,11,WT,0.7
28,WT,70.0,11,-0.2618275080660949,11,WT,0.7
29,WT,70.0,11,-0.15493165553080457,11,WT,0.7
30,CloneA,70.0,11,-0.1221425968423122,11,WT,0.7
31,CloneA,70.0,11,0.3159972626868457,11,WT,0.7
32,CloneA,70.0,11,0.08448412380048335,11,WT,0.7
33,CloneE,70.0,11,-0.13810364263089517,11,WT,0.7
34,CloneE,70.0,11,-0.28456285296183154,11,WT,0.7
35,CloneE,70.0,11,-0.17251073639232603,11,WT,0.7
13,CloneA,0.7,12,0.7359466402680471,12,CloneA,0.7
14,CloneA,0.7,12,0.28900922500647175,12,CloneA,0.7
15,CloneE,0.7,12,0.23256076419316232,12,CloneA,0.7
16,CloneE,0.7,12,0.623697863537359,12,CloneA,0.7
17,CloneE,0.7,12,0.30005266816093445,12,CloneA,0.7
18,WT,7.0,12,-0.2701800037576048,12,CloneA,0.7
19,WT,7.0,12,-0.36587055290024256,12,CloneA,0.7
20,WT,7.0,12,-0.33369835995047736,12,CloneA,0.7
21,CloneA,7.0,12,-0.13188126332767092,12,CloneA,0.7
22,CloneA,7.0,12,0.07970823704912788,12,CloneA,0.7
23,CloneA,7.0,12,-0.20762172842377125,12,CloneA,0.7
24,CloneE,7.0,12,-0.34736702725131036,12,CloneA,0.7
25,CloneE,7.0,12,0.17286643417539943,12,CloneA,0.7
26,CloneE,7.0,12,-0.17033537313189595,12,CloneA,0.7
27,WT,70.0,12,-0.19554988539724819,12,CloneA,0.7
28,WT,70.0,12,-0.21618155014929163,12,CloneA,0.7
29,WT,70.0,12,-0.44120694057378096,12,CloneA,0.7
30,CloneA,70.0,12,-0.22755848796638833,12,CloneA,0.7
31,CloneA,70.0,12,-0.14769962211361687,12,CloneA,0.7
