features	dataset
Cells_Correlation_K_ER_DNA	bortezomib
Cells_Correlation_K_ER_RNA	bortezomib
Cells_Correlation_K_Mito_DNA	bortezomib
Cells_Correlation_K_RNA_DNA	bortezomib
Cells_Correlation_K_RNA_ER	bortezomib
Cells_Correlation_Manders_AGP_DNA	bortezomib
Cells_Correlation_Manders_AGP_RNA	bortezomib
Cells_Correlation_Manders_DNA_Mito	bortezomib
Cells_Correlation_Manders_ER_AGP	bortezomib
Cells_Correlation_Manders_ER_DNA	bortezomib
Cells_Correlation_Manders_ER_Mito	bortezomib
Cells_Correlation_Manders_ER_RNA	bortezomib
Cells_Correlation_Manders_Mito_AGP	bortezomib
Cells_Correlation_Manders_Mito_DNA	bortezomib
Cells_Correlation_Manders_Mito_ER	bortezomib
Cells_Correlation_Manders_Mito_RNA	bortezomib
Cells_Correlation_Manders_RNA_AGP	bortezomib
Cells_Correlation_Manders_RNA_ER	bortezomib
Cells_Correlation_Manders_RNA_Mito	bortezomib
Cells_Correlation_Overlap_DNA_AGP	bortezomib
Cells_Correlation_Overlap_DNA_ER	bortezomib
Cells_Correlation_Overlap_DNA_Mito	bortezomib
Cells_Correlation_Overlap_DNA_RNA	bortezomib
Cells_Correlation_Overlap_ER_AGP	bortezomib
Cells_Correlation_Overlap_ER_RNA	bortezomib
Cells_Correlation_Overlap_Mito_AGP	bortezomib
Cells_Correlation_Overlap_Mito_ER	bortezomib
Cells_Correlation_Overlap_RNA_AGP	bortezomib
Cells_Correlation_RWC_AGP_DNA	bortezomib
Cells_Correlation_RWC_AGP_ER	bortezomib
Cells_Correlation_RWC_AGP_Mito	bortezomib
Cells_Correlation_RWC_AGP_RNA	bortezomib
Cells_Correlation_RWC_DNA_AGP	bortezomib
Cells_Correlation_RWC_DNA_ER	bortezomib
Cells_Correlation_RWC_DNA_Mito	bortezomib
Cells_Correlation_RWC_DNA_RNA	bortezomib
Cells_Correlation_RWC_ER_AGP	bortezomib
Cells_Correlation_RWC_ER_DNA	bortezomib
Cells_Correlation_RWC_ER_Mito	bortezomib
Cells_Correlation_RWC_ER_RNA	bortezomib
Cells_Correlation_RWC_Mito_AGP	bortezomib
Cells_Correlation_RWC_Mito_DNA	bortezomib
Cells_Correlation_RWC_Mito_ER	bortezomib
Cells_Correlation_RWC_Mito_RNA	bortezomib
Cells_Correlation_RWC_RNA_AGP	bortezomib
Cells_Correlation_RWC_RNA_DNA	bortezomib
Cells_Correlation_RWC_RNA_ER	bortezomib
Cells_Correlation_RWC_RNA_Mito	bortezomib
Cells_Granularity_16_Mito	bortezomib
Cells_Granularity_2_AGP	bortezomib
Cells_Granularity_2_ER	bortezomib
Cells_Granularity_2_Mito	bortezomib
Cells_Granularity_3_Mito	bortezomib
Cells_Granularity_4_Mito	bortezomib
Cells_Intensity_IntegratedIntensityEdge_AGP	bortezomib
Cells_Intensity_IntegratedIntensityEdge_Mito	bortezomib
Cells_Intensity_IntegratedIntensityEdge_RNA	bortezomib
Cells_Intensity_IntegratedIntensity_AGP	bortezomib
Cells_Intensity_IntegratedIntensity_DNA	bortezomib
Cells_Intensity_IntegratedIntensity_ER	bortezomib
Cells_Intensity_IntegratedIntensity_Mito	bortezomib
