features	dataset
Cytoplasm_Texture_InfoMeas1_ER_10_00	bortezomib
Cytoplasm_Texture_InfoMeas1_ER_5_03	bortezomib
Cytoplasm_Texture_InfoMeas1_Mito_10_00	bortezomib
Cytoplasm_Texture_InfoMeas1_Mito_20_01	bortezomib
Cytoplasm_Texture_InfoMeas1_Mito_5_00	bortezomib
Cytoplasm_Texture_InfoMeas1_Mito_5_01	bortezomib
Cytoplasm_Texture_InfoMeas1_RNA_10_02	bortezomib
Cytoplasm_Texture_InfoMeas1_RNA_5_00	bortezomib
Cytoplasm_Texture_InfoMeas1_RNA_5_03	bortezomib
Cytoplasm_Texture_InfoMeas2_AGP_20_01	bortezomib
Cytoplasm_Texture_InfoMeas2_AGP_5_00	bortezomib
Cytoplasm_Texture_InfoMeas2_DNA_20_03	bortezomib
Cytoplasm_Texture_InfoMeas2_DNA_5_02	bortezomib
Cytoplasm_Texture_InfoMeas2_DNA_5_03	bortezomib
Cytoplasm_Texture_InfoMeas2_ER_5_03	bortezomib
Cytoplasm_Texture_InfoMeas2_Mito_20_01	bortezomib
Cytoplasm_Texture_InfoMeas2_Mito_5_00	bortezomib
Cytoplasm_Texture_InfoMeas2_Mito_5_01	bortezomib
Cytoplasm_Texture_InfoMeas2_RNA_5_00	bortezomib
Cytoplasm_Texture_InverseDifferenceMoment_AGP_20_01	bortezomib
Cytoplasm_Texture_InverseDifferenceMoment_DNA_10_03	bortezomib
Cytoplasm_Texture_InverseDifferenceMoment_DNA_20_03	bortezomib
Cytoplasm_Texture_InverseDifferenceMoment_ER_10_03	bortezomib
Cytoplasm_Texture_InverseDifferenceMoment_ER_20_02	bortezomib
Cytoplasm_Texture_InverseDifferenceMoment_ER_20_03	bortezomib
Cytoplasm_Texture_InverseDifferenceMoment_Mito_10_03	bortezomib
Cytoplasm_Texture_InverseDifferenceMoment_Mito_20_00	bortezomib
Cytoplasm_Texture_InverseDifferenceMoment_Mito_20_01	bortezomib
Cytoplasm_Texture_InverseDifferenceMoment_Mito_20_02	bortezomib
Cytoplasm_Texture_InverseDifferenceMoment_Mito_5_02	bortezomib
Cytoplasm_Texture_InverseDifferenceMoment_RNA_20_01	bortezomib
Cytoplasm_Texture_SumAverage_Mito_5_00	bortezomib
Cytoplasm_Texture_SumAverage_RNA_5_00	bortezomib
Cytoplasm_Texture_SumEntropy_DNA_5_02	bortezomib
Cytoplasm_Texture_SumEntropy_ER_5_00	bortezomib
Cytoplasm_Texture_SumEntropy_Mito_5_00	bortezomib
Cytoplasm_Texture_SumEntropy_RNA_5_00	bortezomib
Cytoplasm_Texture_SumVariance_DNA_5_02	bortezomib
Cytoplasm_Texture_SumVariance_ER_5_00	bortezomib
Cytoplasm_Texture_SumVariance_Mito_5_00	bortezomib
Nuclei_AreaShape_Compactness	bortezomib
Nuclei_AreaShape_Eccentricity	bortezomib
Nuclei_AreaShape_Extent	bortezomib
Nuclei_AreaShape_FormFactor	bortezomib
Nuclei_AreaShape_MaxFeretDiameter	bortezomib
Nuclei_AreaShape_MeanRadius	bortezomib
Nuclei_AreaShape_MedianRadius	bortezomib
Nuclei_AreaShape_Orientation	bortezomib
Nuclei_AreaShape_Solidity	bortezomib
Nuclei_AreaShape_Zernike_0_0	bortezomib
Nuclei_AreaShape_Zernike_1_1	bortezomib
Nuclei_AreaShape_Zernike_2_0	bortezomib
Nuclei_AreaShape_Zernike_2_2	bortezomib
Nuclei_AreaShape_Zernike_3_1	bortezomib
Nuclei_AreaShape_Zernike_3_3	bortezomib
Nuclei_AreaShape_Zernike_4_0	bortezomib
Nuclei_AreaShape_Zernike_4_2	bortezomib
Nuclei_AreaShape_Zernike_4_4	bortezomib
Nuclei_AreaShape_Zernike_5_1	bortezomib
Nuclei_AreaShape_Zernike_5_3	bortezomib
Nuclei_AreaShape_Zernike_5_5	bortezomib
Nuclei_AreaShape_Zernike_6_0	bortezomib
Nuclei_AreaShape_Zernike_6_2	bortezomib
Nuclei_AreaShape_Zernike_6_4	bortezomib
Nuclei_AreaShape_Zernike_6_6	bortezomib
Nuclei_AreaShape_Zernike_7_1	bortezomib
Nuclei_AreaShape_Zernike_7_3	bortezomib
Nuclei_AreaShape_Zernike_7_5	bortezomib
Nuclei_AreaShape_Zernike_7_7	bortezomib
Nuclei_AreaShape_Zernike_8_0	bortezomib
Nuclei_AreaShape_Zernike_8_2	bortezomib
Nuclei_AreaShape_Zernike_8_4	bortezomib
Nuclei_AreaShape_Zernike_8_6	bortezomib
Nuclei_AreaShape_Zernike_8_8	bortezomib
Nuclei_AreaShape_Zernike_9_1	bortezomib
Nuclei_AreaShape_Zernike_9_3	bortezomib
Nuclei_AreaShape_Zernike_9_5	bortezomib
Nuclei_AreaShape_Zernike_9_7	bortezomib
Nuclei_AreaShape_Zernike_9_9	bortezomib
Nuclei_Correlation_Correlation_DNA_AGP	bortezomib
Nuclei_Correlation_Correlation_DNA_ER	bortezomib
Nuclei_Correlation_Correlation_DNA_Mito	bortezomib
Nuclei_Correlation_Correlation_DNA_RNA	bortezomib
Nuclei_Correlation_Correlation_ER_AGP	bortezomib
Nuclei_Correlation_Correlation_ER_RNA	bortezomib
Nuclei_Correlation_Correlation_Mito_AGP	bortezomib
Nuclei_Correlation_Correlation_Mito_ER	bortezomib
Nuclei_Correlation_Correlation_Mito_RNA	bortezomib
Nuclei_Correlation_Correlation_RNA_AGP	bortezomib
Nuclei_Correlation_K_AGP_RNA	bortezomib
Nuclei_Correlation_K_ER_DNA	bortezomib
Nuclei_Correlation_K_RNA_AGP	bortezomib
Nuclei_Correlation_K_RNA_DNA	bortezomib
Nuclei_Correlation_Overlap_DNA_AGP	bortezomib
Nuclei_Correlation_Overlap_DNA_ER	bortezomib
Nuclei_Correlation_Overlap_DNA_Mito	bortezomib
Nuclei_Correlation_Overlap_DNA_RNA	bortezomib
Nuclei_Correlation_Overlap_ER_AGP	bortezomib
Nuclei_Correlation_Overlap_ER_RNA	bortezomib
Nuclei_Correlation_Overlap_RNA_AGP	bortezomib
Nuclei_Granularity_10_AGP	bortezomib
Nuclei_Granularity_10_DNA	bortezomib
Nuclei_Granularity_10_ER	bortezomib
Nuclei_Granularity_10_Mito	bortezomib
Nuclei_Granularity_10_RNA	bortezomib
Nuclei_Granularity_11_AGP	bortezomib
Nuclei_Granularity_11_DNA	bortezomib
Nuclei_Granularity_11_ER	bortezomib
Nuclei_Granularity_11_Mito	bortezomib
Nuclei_Granularity_11_RNA	bortezomib
Nuclei_Granularity_12_AGP	bortezomib
Nuclei_Granularity_12_DNA	bortezomib
Nuclei_Granularity_12_ER	bortezomib
Nuclei_Granularity_12_Mito	bortezomib
Nuclei_Granularity_12_RNA	bortezomib
Nuclei_Granularity_13_AGP	bortezomib
Nuclei_Granularity_13_DNA	bortezomib
Nuclei_Granularity_13_ER	bortezomib
Nuclei_Granularity_13_Mito	bortezomib
Nuclei_Granularity_13_RNA	bortezomib
Nuclei_Granularity_1_AGP	bortezomib
Nuclei_Granularity_1_DNA	bortezomib
Nuclei_Granularity_1_Mito	bortezomib
Nuclei_Granularity_2_DNA	bortezomib
Nuclei_Granularity_2_RNA	bortezomib
Nuclei_Granularity_3_DNA	bortezomib
Nuclei_Granularity_3_RNA	bortezomib
Nuclei_Granularity_4_DNA	bortezomib
Nuclei_Granularity_5_DNA	bortezomib
Nuclei_Granularity_6_DNA	bortezomib
Nuclei_Granularity_7_DNA	bortezomib
Nuclei_Granularity_8_DNA	bortezomib
Nuclei_Granularity_8_Mito	bortezomib
Nuclei_Granularity_9_AGP	bortezomib
Nuclei_Granularity_9_DNA	bortezomib
Nuclei_Granularity_9_ER	bortezomib
Nuclei_Granularity_9_Mito	bortezomib
Nuclei_Intensity_IntegratedIntensityEdge_AGP	bortezomib
Nuclei_Intensity_IntegratedIntensityEdge_DNA	bortezomib
Nuclei_Intensity_IntegratedIntensityEdge_ER	bortezomib
Nuclei_Intensity_IntegratedIntensityEdge_Mito	bortezomib
Nuclei_Intensity_IntegratedIntensityEdge_RNA	bortezomib
Nuclei_Intensity_IntegratedIntensity_AGP	bortezomib
Nuclei_Intensity_IntegratedIntensity_ER	bortezomib
Nuclei_Intensity_IntegratedIntensity_Mito	bortezomib
Nuclei_Intensity_IntegratedIntensity_RNA	bortezomib
Nuclei_Intensity_LowerQuartileIntensity_DNA	bortezomib
Nuclei_Intensity_MassDisplacement_AGP	bortezomib
Nuclei_Intensity_MassDisplacement_DNA	bortezomib
Nuclei_Intensity_MassDisplacement_ER	bortezomib
Nuclei_Intensity_MassDisplacement_Mito	bortezomib
Nuclei_Intensity_MassDisplacement_RNA	bortezomib
Nuclei_Intensity_MaxIntensityEdge_DNA	bortezomib
Nuclei_Intensity_MeanIntensityEdge_AGP	bortezomib
Nuclei_Intensity_MeanIntensityEdge_DNA	bortezomib
Nuclei_Intensity_MeanIntensityEdge_ER	bortezomib
Nuclei_Intensity_MeanIntensityEdge_Mito	bortezomib
Nuclei_Intensity_MedianIntensity_DNA	bortezomib
Nuclei_Intensity_MinIntensityEdge_AGP	bortezomib
Nuclei_Intensity_MinIntensityEdge_Mito	bortezomib
Nuclei_Intensity_MinIntensityEdge_RNA	bortezomib
Nuclei_Intensity_MinIntensity_DNA	bortezomib
Nuclei_Intensity_MinIntensity_ER	bortezomib
Nuclei_Intensity_StdIntensityEdge_DNA	bortezomib
Nuclei_Neighbors_AngleBetweenNeighbors_2	bortezomib
Nuclei_Neighbors_FirstClosestDistance_2	bortezomib
Nuclei_Neighbors_PercentTouching_2	bortezomib
Nuclei_Neighbors_SecondClosestDistance_2	bortezomib
Nuclei_Neighbors_SecondClosestObjectNumber_2	bortezomib
Nuclei_RadialDistribution_FracAtD_AGP_1of4	bortezomib
Nuclei_RadialDistribution_FracAtD_AGP_3of4	bortezomib
Nuclei_RadialDistribution_FracAtD_AGP_4of4	bortezomib
Nuclei_RadialDistribution_FracAtD_DNA_1of4	bortezomib
Nuclei_RadialDistribution_FracAtD_DNA_3of4	bortezomib
Nuclei_RadialDistribution_FracAtD_DNA_4of4	bortezomib
Nuclei_RadialDistribution_FracAtD_ER_1of4	bortezomib
Nuclei_RadialDistribution_FracAtD_ER_2of4	bortezomib
Nuclei_RadialDistribution_FracAtD_ER_4of4	bortezomib
Nuclei_RadialDistribution_FracAtD_Mito_1of4	bortezomib
Nuclei_RadialDistribution_FracAtD_Mito_2of4	bortezomib
Nuclei_RadialDistribution_FracAtD_Mito_3of4	bortezomib
Nuclei_RadialDistribution_FracAtD_Mito_4of4	bortezomib
Nuclei_RadialDistribution_FracAtD_RNA_1of4	bortezomib
Nuclei_RadialDistribution_FracAtD_RNA_2of4	bortezomib
Nuclei_RadialDistribution_FracAtD_RNA_4of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_AGP_1of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_AGP_2of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_AGP_3of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_AGP_4of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_DNA_1of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_DNA_3of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_ER_1of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_ER_2of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_ER_3of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_ER_4of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_Mito_1of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_Mito_2of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_Mito_4of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_RNA_1of4	bortezomib
Nuclei_RadialDistribution_MeanFrac_RNA_2of4	bortezomib
Nuclei_RadialDistribution_RadialCV_AGP_1of4	bortezomib
Nuclei_RadialDistribution_RadialCV_AGP_2of4	bortezomib
Nuclei_RadialDistribution_RadialCV_AGP_3of4	bortezomib
Nuclei_RadialDistribution_RadialCV_DNA_1of4	bortezomib
Nuclei_RadialDistribution_RadialCV_DNA_2of4	bortezomib
Nuclei_RadialDistribution_RadialCV_DNA_3of4	bortezomib
Nuclei_RadialDistribution_RadialCV_DNA_4of4	bortezomib
Nuclei_RadialDistribution_RadialCV_ER_1of4	bortezomib
Nuclei_RadialDistribution_RadialCV_ER_2of4	bortezomib
Nuclei_RadialDistribution_RadialCV_ER_3of4	bortezomib
Nuclei_RadialDistribution_RadialCV_ER_4of4	bortezomib
Nuclei_RadialDistribution_RadialCV_Mito_1of4	bortezomib
Nuclei_RadialDistribution_RadialCV_Mito_2of4	bortezomib
Nuclei_RadialDistribution_RadialCV_Mito_3of4	bortezomib
Nuclei_RadialDistribution_RadialCV_Mito_4of4	bortezomib
Nuclei_RadialDistribution_RadialCV_RNA_1of4	bortezomib
Nuclei_RadialDistribution_RadialCV_RNA_2of4	bortezomib
Nuclei_RadialDistribution_RadialCV_RNA_3of4	bortezomib
Nuclei_RadialDistribution_RadialCV_RNA_4of4	bortezomib
Nuclei_Texture_AngularSecondMoment_AGP_20_01	bortezomib
Nuclei_Texture_AngularSecondMoment_DNA_20_03	bortezomib
Nuclei_Texture_AngularSecondMoment_ER_20_02	bortezomib
Nuclei_Texture_AngularSecondMoment_ER_20_03	bortezomib
Nuclei_Texture_AngularSecondMoment_Mito_20_01	bortezomib
Nuclei_Texture_AngularSecondMoment_RNA_20_03	bortezomib
Nuclei_Texture_Contrast_Mito_5_02	bortezomib
Nuclei_Texture_Correlation_AGP_10_00	bortezomib
Nuclei_Texture_Correlation_AGP_10_01	bortezomib
Nuclei_Texture_Correlation_AGP_10_02	bortezomib
Nuclei_Texture_Correlation_AGP_10_03	bortezomib
Nuclei_Texture_Correlation_AGP_20_00	bortezomib
Nuclei_Texture_Correlation_AGP_20_01	bortezomib
Nuclei_Texture_Correlation_AGP_20_02	bortezomib
Nuclei_Texture_Correlation_AGP_20_03	bortezomib
Nuclei_Texture_Correlation_AGP_5_00	bortezomib
Nuclei_Texture_Correlation_AGP_5_01	bortezomib
Nuclei_Texture_Correlation_AGP_5_02	bortezomib
Nuclei_Texture_Correlation_AGP_5_03	bortezomib
Nuclei_Texture_Correlation_DNA_10_00	bortezomib
Nuclei_Texture_Correlation_DNA_10_01	bortezomib
Nuclei_Texture_Correlation_DNA_10_02	bortezomib
Nuclei_Texture_Correlation_DNA_10_03	bortezomib
Nuclei_Texture_Correlation_DNA_20_00	bortezomib
Nuclei_Texture_Correlation_DNA_20_01	bortezomib
Nuclei_Texture_Correlation_DNA_20_02	bortezomib
Nuclei_Texture_Correlation_DNA_20_03	bortezomib
Nuclei_Texture_Correlation_DNA_5_00	bortezomib
Nuclei_Texture_Correlation_ER_10_00	bortezomib
Nuclei_Texture_Correlation_ER_10_01	bortezomib
Nuclei_Texture_Correlation_ER_10_02	bortezomib
Nuclei_Texture_Correlation_ER_10_03	bortezomib
Nuclei_Texture_Correlation_ER_20_00	bortezomib
Nuclei_Texture_Correlation_ER_20_01	bortezomib
Nuclei_Texture_Correlation_ER_20_02	bortezomib
Nuclei_Texture_Correlation_ER_20_03	bortezomib
Nuclei_Texture_Correlation_ER_5_00	bortezomib
Nuclei_Texture_Correlation_ER_5_01	bortezomib
Nuclei_Texture_Correlation_ER_5_02	bortezomib
Nuclei_Texture_Correlation_ER_5_03	bortezomib
Nuclei_Texture_Correlation_Mito_10_00	bortezomib
Nuclei_Texture_Correlation_Mito_10_01	bortezomib
Nuclei_Texture_Correlation_Mito_10_02	bortezomib
Nuclei_Texture_Correlation_Mito_10_03	bortezomib
Nuclei_Texture_Correlation_Mito_20_00	bortezomib
Nuclei_Texture_Correlation_Mito_20_01	bortezomib
Nuclei_Texture_Correlation_Mito_20_02	bortezomib
Nuclei_Texture_Correlation_Mito_20_03	bortezomib
Nuclei_Texture_Correlation_Mito_5_03	bortezomib
Nuclei_Texture_Correlation_RNA_10_00	bortezomib
Nuclei_Texture_Correlation_RNA_10_01	bortezomib
Nuclei_Texture_Correlation_RNA_10_02	bortezomib
Nuclei_Texture_Correlation_RNA_10_03	bortezomib
Nuclei_Texture_Correlation_RNA_20_00	bortezomib
Nuclei_Texture_Correlation_RNA_20_01	bortezomib
Nuclei_Texture_Correlation_RNA_20_02	bortezomib
Nuclei_Texture_Correlation_RNA_20_03	bortezomib
Nuclei_Texture_Correlation_RNA_5_00	bortezomib
Nuclei_Texture_Correlation_RNA_5_01	bortezomib
Nuclei_Texture_Correlation_RNA_5_02	bortezomib
Nuclei_Texture_Correlation_RNA_5_03	bortezomib
Nuclei_Texture_DifferenceVariance_DNA_20_03	bortezomib
Nuclei_Texture_Entropy_AGP_20_01	bortezomib
Nuclei_Texture_Entropy_DNA_20_03	bortezomib
Nuclei_Texture_Entropy_ER_20_03	bortezomib
Nuclei_Texture_Entropy_Mito_20_01	bortezomib
Nuclei_Texture_Entropy_RNA_20_03	bortezomib
Nuclei_Texture_InfoMeas1_AGP_5_00	bortezomib
Nuclei_Texture_InfoMeas1_AGP_5_01	bortezomib
Nuclei_Texture_InfoMeas1_DNA_5_02	bortezomib
Nuclei_Texture_InfoMeas1_ER_20_01	bortezomib
Nuclei_Texture_InfoMeas1_ER_5_00	bortezomib
Nuclei_Texture_InfoMeas1_Mito_5_00	bortezomib
Nuclei_Texture_InfoMeas1_RNA_5_00	bortezomib
Nuclei_Texture_InfoMeas1_RNA_5_01	bortezomib
Nuclei_Texture_InfoMeas2_AGP_5_02	bortezomib
Nuclei_Texture_InfoMeas2_DNA_5_02	bortezomib
Nuclei_Texture_InfoMeas2_ER_20_01	bortezomib
Nuclei_Texture_InfoMeas2_ER_5_00	bortezomib
Nuclei_Texture_InfoMeas2_RNA_5_00	bortezomib
Nuclei_Texture_InverseDifferenceMoment_ER_20_01	bortezomib
Nuclei_Texture_InverseDifferenceMoment_RNA_20_01	bortezomib
Nuclei_Texture_SumAverage_DNA_20_03	bortezomib
Nuclei_Texture_SumEntropy_DNA_20_03	bortezomib
Nuclei_Texture_SumVariance_RNA_20_03	bortezomib
